23 Jun 2016 22:49:17 : Cipher , Calamariela#4119 , XD
23 Jun 2016 22:49:27 : Cipher , Wertfuzzy77#0274 , <@!151163520120127488>  youll understand when your older
23 Jun 2016 22:49:33 : Cipher , Wertfuzzy77#0274 , hate when people say that
23 Jun 2016 22:49:48 : Cipher , Wertfuzzy77#0274 , like on my top 5 list of most hated phrases
23 Jun 2016 22:49:49 : Cipher , Calamariela#4119 , :)
23 Jun 2016 22:49:49 : Cipher , Nalk Xulk Uk Eht#7098 , lmaoooo
23 Jun 2016 22:49:58 : Cipher , Nalk Xulk Uk Eht#7098 , i thought you ment like top as in toph
23 Jun 2016 22:50:01 : Cipher , Nalk Xulk Uk Eht#7098 , lmaoooooo
23 Jun 2016 22:50:02 : Cipher , Wertfuzzy77#0274 , lol, he got it
23 Jun 2016 22:50:05 : Cipher , Calamariela#4119 , XD
23 Jun 2016 22:50:22 : Cipher , Calamariela#4119 , Haha but seriously I want first xD
23 Jun 2016 22:50:31 : Cipher , Wertfuzzy77#0274 , Calafuzzy
23 Jun 2016 22:50:34 : Cipher , Wertfuzzy77#0274 , i can deal with that
23 Jun 2016 22:50:54 : Cipher , Wertfuzzy77#0274 , lol <@181146412933840896>  brace yourself
23 Jun 2016 22:51:01 : Cipher , Nalk Xulk Uk Eht#7098 , #wert210
23 Jun 2016 22:51:05 : Cipher , Calamariela#4119 , Lol do you call me cala or mari?
23 Jun 2016 22:51:13 : Cipher , Nalk Xulk Uk Eht#7098 , i call you babe <@183307266475294721>
23 Jun 2016 22:51:23 : Cipher , Wertfuzzy77#0274 , I always to 1st part of name, unless someone tells me otherwuse
23 Jun 2016 22:51:24 : Cipher , Calamariela#4119 , Go away roy xD
23 Jun 2016 22:51:26 : Cipher , Wertfuzzy77#0274 , wise*
23 Jun 2016 22:51:43 : Cipher , Calamariela#4119 , Lol toph calls me both xD
23 Jun 2016 22:52:08 : Cipher , Nalk Xulk Uk Eht#7098 , bet babe <@183307266475294721>
23 Jun 2016 22:52:15 : Cipher , Wertfuzzy77#0274 , So its, Toph, Cala, MG, Dubu, Roy, Fuze (exception) Justin, Alli, Joe, Akin,  Pac, Blazer (Also exception) and sky
23 Jun 2016 22:52:24 : Cipher , Wertfuzzy77#0274 , mostly 1st 1/2 ish
23 Jun 2016 22:52:30 : Cipher , Nalk Xulk Uk Eht#7098 , we are wat
23 Jun 2016 22:52:36 : Cipher , Calamariela#4119 , You call me babe in front of don I will hurt your feelings buddy
23 Jun 2016 22:52:43 : Cipher , Wertfuzzy77#0274 , lol
23 Jun 2016 22:52:48 : Cipher , Wertfuzzy77#0274 , 'buddy'
23 Jun 2016 22:52:52 : Cipher , Nalk Xulk Uk Eht#7098 , k, i will call you babe in front of don <@183307266475294721>
23 Jun 2016 22:52:53 : Cipher , Calamariela#4119 , Yep wert
23 Jun 2016 22:53:04 : Cipher , Calamariela#4119 , Kms
23 Jun 2016 22:53:10 : Cipher , Wertfuzzy77#0274 , bet
23 Jun 2016 22:53:13 : Cipher , Nalk Xulk Uk Eht#7098 , he gonna beat you?
