21 Jun 2016 01:16:11 : LimitlessMc , Flame#8516 , you
21 Jun 2016 01:16:33 : LimitlessMc , Flame#8516 , !youtube epic sax guy 10 hours
21 Jun 2016 01:17:05 : LimitlessMc , Genesect#6492 , !youtube drunk russian rave
21 Jun 2016 01:17:06 : LimitlessMc , Genesect#6492 , !skip
21 Jun 2016 01:17:43 : LimitlessMc , Genesect#6492 , Le
21 Jun 2016 01:17:45 : LimitlessMc , Flame#8516 , ha
21 Jun 2016 01:18:00 : LimitlessMc , Mank#0033 , !youtube brony
21 Jun 2016 01:18:08 : LimitlessMc , Mank#0033 , !queue
21 Jun 2016 01:18:08 : LimitlessMc , Genesect#6492 , <@151438890107011072>  you missed it
21 Jun 2016 01:18:09 : LimitlessMc , Gerald#7099 , I will play the following songs
  - BRONY CRINGE COMPILATION
21 Jun 2016 01:18:18 : LimitlessMc , Mank#0033 , play it again
21 Jun 2016 01:18:18 : LimitlessMc , Genesect#6492 , it was a keemstar dubstep
21 Jun 2016 01:18:29 : LimitlessMc , Genesect#6492 , the dubstep?
21 Jun 2016 01:18:35 : LimitlessMc , Mank#0033 , nvm fuck keemstar
21 Jun 2016 01:18:40 : LimitlessMc , Genesect#6492 , loolol
21 Jun 2016 01:18:45 : LimitlessMc , Genesect#6492 , thats the point of the song
21 Jun 2016 01:18:49 : LimitlessMc , Genesect#6492 , fuck him xD
21 Jun 2016 01:18:54 : LimitlessMc , Mank#0033 , !skip
21 Jun 2016 01:19:00 : LimitlessMc , Genesect#6492 , oh god
21 Jun 2016 01:19:02 : LimitlessMc , Genesect#6492 , not bronys
21 Jun 2016 01:19:06 : LimitlessMc , Mank#0033 , lelelele
21 Jun 2016 01:19:11 : LimitlessMc , Flame#8516 , ll
21 Jun 2016 01:19:11 : LimitlessMc , Genesect#6492 , brb gotta get bleach drenched popcorn
21 Jun 2016 01:19:20 : LimitlessMc , Flame#8516 , ^
21 Jun 2016 01:19:26 : LimitlessMc , Mank#0033 , !youtube backyardigans remix
21 Jun 2016 01:19:29 : LimitlessMc , Genesect#6492 , oh god
21 Jun 2016 01:19:30 : LimitlessMc , Mank#0033 , !skip
21 Jun 2016 01:19:36 : LimitlessMc , Genesect#6492 , oh no
21 Jun 2016 01:19:38 : LimitlessMc , Genesect#6492 , nonoonono
21 Jun 2016 01:19:57 : LimitlessMc , Flame#8516 , kill me please!
21 Jun 2016 01:20:05 : LimitlessMc , Mank#0033 , fire
21 Jun 2016 01:20:16 : LimitlessMc , Genesect#6492 , !youtube kazoo kid trap remix
21 Jun 2016 01:21:19 : LimitlessMc , Genesect#6492 , !meme end my suffering
21 Jun 2016 01:21:20 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/166ahi.jpg
21 Jun 2016 01:21:37 : LimitlessMc , Wertfuzzy77#0274 , !mute Genesect
21 Jun 2016 01:21:39 : LimitlessMc , Wertfuzzy77#0274 , done
21 Jun 2016 01:21:39 : LimitlessMc , Botfuzzy77#2926 , Muted Genesect
21 Jun 2016 01:21:42 : (MUTED PLAYER)-LimitlessMc , Genesect#6492 , wow
21 Jun 2016 01:21:44 : (MUTED PLAYER)-LimitlessMc , Genesect#6492 , r00d
21 Jun 2016 01:21:52 : LimitlessMc , Wertfuzzy77#0274 , !unmuteall
21 Jun 2016 01:21:53 : LimitlessMc , Botfuzzy77#2926 , Unmuted All Players
21 Jun 2016 01:22:10 : LimitlessMc , Genesect#6492 , !mute Wertfuzzy77
21 Jun 2016 01:22:11 : LimitlessMc , Nalk Xulk Uk Eht#7098 , <@134441036905840640> u have no mute perms in this chat lel
21 Jun 2016 01:22:49 : LimitlessMc , Genesect#6492 , wtf
21 Jun 2016 01:22:56 : LimitlessMc , Genesect#6492 , not again
21 Jun 2016 01:23:00 : LimitlessMc , Genesect#6492 , another fire beat
21 Jun 2016 01:23:06 : LimitlessMc , Genesect#6492 , Le
21 Jun 2016 01:34:28 : LimitlessMc , Nalk Xulk Uk Eht#7098 , <@107947292442492928> nigga wtf
21 Jun 2016 01:34:40 : LimitlessMc , ThaOriginal#5897 , wasnt me
21 Jun 2016 01:34:52 : LimitlessMc , Nalk Xulk Uk Eht#7098 , who was it?
21 Jun 2016 01:35:37 : LimitlessMc , Nalk Xulk Uk Eht#7098 , kys king of salt <@135660968804876289>
21 Jun 2016 01:35:47 : LimitlessMc , Genesect#6492 , reported
21 Jun 2016 01:35:54 : LimitlessMc , Genesect#6492 , <@134441036905840640>  get him
