11 Jul 2016 23:42:21 : Cipher , RoyGasm ;)#7098 , ;magicconch should marifuzzy die?
11 Jul 2016 23:42:21 : Cipher , Botfuzzy77#2209 , *Reply hazy, try again*
11 Jul 2016 23:42:21 : Cipher , Botfuzzy77#2209 , The Conch has Spoken!
11 Jul 2016 23:42:28 : Cipher , RoyGasm ;)#7098 , ;magicconch should marifuzzy die?
11 Jul 2016 23:42:28 : Cipher , Botfuzzy77#2209 , *Concentrate and ask again*
11 Jul 2016 23:42:28 : Cipher , Botfuzzy77#2209 , The Conch has Spoken!
11 Jul 2016 23:42:30 : Cipher , RoyGasm ;)#7098 , ;magicconch should marifuzzy die?
11 Jul 2016 23:42:30 : Cipher , Botfuzzy77#2209 , *Signs point to yes*
11 Jul 2016 23:42:30 : Cipher , Botfuzzy77#2209 , The Conch has Spoken!
11 Jul 2016 23:42:40 : Cipher , Calamariela#4119 , xD
11 Jul 2016 23:43:04 : Cipher , Calamariela#4119 , take him!!!
11 Jul 2016 23:43:30 : League Of Legends , Schuyler Deal#4317 , -play ride
11 Jul 2016 23:43:32 : League Of Legends , Aethex#0394 , Now playing **twenty one pilots: Ride (Video)** in `Music` (3:45, requested by **Schuyler Deal**).
11 Jul 2016 23:44:57 : League Of Legends , Schuyler Deal#4317 , -stop
11 Jul 2016 23:45:08 : League Of Legends , Schuyler Deal#4317 , -pause
11 Jul 2016 23:45:39 : League Of Legends , Schuyler Deal#4317 , -tag Botfuzz77
11 Jul 2016 23:45:40 : League Of Legends , Aethex#0394 , Tag not found.
11 Jul 2016 23:45:51 : League Of Legends , Schuyler Deal#4317 , -tag Botfuzzy77
11 Jul 2016 23:45:52 : League Of Legends , Aethex#0394 , Tag not found.
11 Jul 2016 23:47:18 : League Of Legends , Schuyler Deal#4317 , -tag Bot Commander
11 Jul 2016 23:47:19 : League Of Legends , Aethex#0394 , Tag not found.
11 Jul 2016 23:48:08 : League Of Legends , Schuyler Deal#4317 , -tag botcommander
11 Jul 2016 23:48:09 : League Of Legends , Aethex#0394 , To grant users Bot Commander, create a role called `Bot Commander` and give it to people.
11 Jul 2016 23:48:24 : League Of Legends , Schuyler Deal#4317 , -stop
11 Jul 2016 23:48:24 : League Of Legends , Aethex#0394 , <@186626980500733964> Successfully cleared the queue and stopped the current song.
11 Jul 2016 23:48:27 : League Of Legends , Schuyler Deal#4317 , yay
11 Jul 2016 23:48:38 : League Of Legends , RoyGasm ;)#7098 , made you a bot commander
11 Jul 2016 23:48:55 : League Of Legends , Schuyler Deal#4317 , ty
11 Jul 2016 23:57:33 : LimitlessMc , Botfuzzy77#2209 , Welcome <@158009803325571073> to LimitlessMc!
12 Jul 2016 00:04:20 : Cipher , Wertfuzzy77#0274 , ;afk
12 Jul 2016 00:04:20 : Cipher , Botfuzzy77#2209 , Wertfuzzy77 is no Longer AFK
12 Jul 2016 00:04:35 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=N-YuSKeFMxY
12 Jul 2016 00:04:58 : Cipher , Wertfuzzy77#0274 , oh yeah xD i forgot
12 Jul 2016 00:05:00 : Cipher , Wertfuzzy77#0274 , logging on now
12 Jul 2016 00:05:11 : Cipher , Topheralan#1202 , I can't stay long tho
12 Jul 2016 00:05:41 : Cipher , RoyGasm ;)#7098 , ;eightball can toph stay for long?
12 Jul 2016 00:05:41 : Cipher , Wertfuzzy77#0274 , ;relog
12 Jul 2016 00:05:42 : Cipher , Botfuzzy77#2209 , Relogging...
