19 Jul 2016 20:01:24 : Cipher , Akincifenwa#5072 , do you need orb
19 Jul 2016 20:01:35 : Cipher , Akincifenwa#5072 , empty one
19 Jul 2016 20:01:37 : Cipher , Kburn1999#5526 , yea but man it took so long
19 Jul 2016 20:01:45 : Cipher , Akincifenwa#5072 , ye sux
19 Jul 2016 20:01:50 : Cipher , Akincifenwa#5072 , ill give you oone
19 Jul 2016 20:01:57 : Cipher , Kburn1999#5526 , sure thnx
19 Jul 2016 20:03:57 : 02Gaming , Botfuzzy77#2209 , **kayoooooooooo**(Member) is now Online!
19 Jul 2016 20:04:02 : Cipher , Akincifenwa#5072 , fuk i cant find it xD
19 Jul 2016 20:06:15 : Cipher , Kburn1999#5526 , what does a rollback do?
19 Jul 2016 20:06:39 : Cipher , Jabulla#3761 , Fucking, rewinds Chunks to how they were before you changed them
19 Jul 2016 20:06:48 : Cipher , Kburn1999#5526 , so cant rollback for items?
19 Jul 2016 20:07:02 : Cipher , Jabulla#3761 , I think it's just chunks
19 Jul 2016 20:07:30 : Cipher , Jabulla#3761 , But if you put a chest in a chunk, and filled it with orbs, if it rolls back, the chest and the orbs are gone
19 Jul 2016 20:07:58 : Cipher , Kburn1999#5526 , the worst part is i filled the orb with 300 boss kills
19 Jul 2016 20:08:33 : Cipher , Jabulla#3761 , Maybe ask Mystz
19 Jul 2016 20:08:38 : Cipher , Jabulla#3761 , Don't know.
19 Jul 2016 20:08:41 : Cipher , Kburn1999#5526 , i dont think mods can give items
19 Jul 2016 20:08:54 : Cipher , Jabulla#3761 , Yeah, nah, they can't
19 Jul 2016 20:09:16 : Cipher , Kburn1999#5526 , cause i know theres a command to give an orb a certain fullnes
19 Jul 2016 20:10:19 : Cipher , Botfuzzy77#2209 , **Wertfuzzy77**(Grand Master) is now Online!
19 Jul 2016 20:10:29 : Cipher , Kburn1999#5526 , wert!!
19 Jul 2016 20:10:43 : Cipher , Wertfuzzy77#0274 , hai
19 Jul 2016 20:10:54 : Cipher , Kburn1999#5526 , i threw my orb into the cactus
19 Jul 2016 20:11:07 : Cipher , Wertfuzzy77#0274 , rip
19 Jul 2016 20:11:22 : LimitlessMc , Wertfuzzy77#0274 , `im still getting used to commands okei. im practically useless lol` same
19 Jul 2016 20:11:26 : Cipher , Jabulla#3761 , The rollback killed like, 300 clay worth of flowerpots...
19 Jul 2016 20:11:31 : Cipher , Wertfuzzy77#0274 , xD
19 Jul 2016 20:11:36 : Cipher , Kburn1999#5526 , need 30 more kills for my damn moltres
19 Jul 2016 20:12:43 : Cipher , Wertfuzzy77#0274 , sux
19 Jul 2016 20:13:39 : Cipher , Wertfuzzy77#0274 , ;relog
19 Jul 2016 20:13:39 : Cipher , Botfuzzy77#2209 , Relogging...
