19 Jul 2016 14:17:21 : Cipher , Wertfuzzy77#0274 , Yeah, it gets boring
19 Jul 2016 14:20:04 : Cipher , Kburn1999#5526 , ;youtube https://www.youtube.com/watch?v=MqXKqaEWus8
19 Jul 2016 14:26:43 : 02Gaming , Botfuzzy77#2209 , **Wu Tang**(Member) is now Online!
19 Jul 2016 14:26:44 : 02Gaming , Botfuzzy77#2209 , **Wu Tang**(Member) is now Online!
19 Jul 2016 14:32:21 : The Pleb Privateers , c.b.norton#4044 , ;fliptabl
19 Jul 2016 14:32:26 : The Pleb Privateers , c.b.norton#4044 , ;puttableback
19 Jul 2016 14:35:01 : Cipher , Botfuzzy77#2209 , **Wertfuzzy77**(Grand Master) is now Online!
19 Jul 2016 14:35:10 : Cipher , Wertfuzzy77#0274 , No I'm nt
19 Jul 2016 14:35:13 : Cipher , Kburn1999#5526 , well skyd utterly destroyed me
19 Jul 2016 14:35:15 : Cipher , Wertfuzzy77#0274 , Go home
19 Jul 2016 14:35:17 : Cipher , Wertfuzzy77#0274 , Lol
19 Jul 2016 14:35:18 : Cipher , Wertfuzzy77#0274 , Rip
19 Jul 2016 14:35:32 : Cipher , Botfuzzy77#2209 , **AlphaBit(AlphaWeeb)**(Grunt) is now Online!
19 Jul 2016 14:35:32 : League Of Legends , Botfuzzy77#2209 , **AlphaBit(AlphaWeeb)**(@everyone) is now Online!
19 Jul 2016 14:35:42 : The Pleb Privateers , Wertfuzzy77#0274 , ;clever teach craig how to use the bot
19 Jul 2016 14:35:43 : Cipher , Kburn1999#5526 , all his pokes are way faster
19 Jul 2016 14:35:43 : The Pleb Privateers , Botfuzzy77#2209 , A bow and arrow.
19 Jul 2016 14:35:48 : The Pleb Privateers , Wertfuzzy77#0274 , ...
19 Jul 2016 14:35:54 : The Pleb Privateers , Wertfuzzy77#0274 , You are on your own xD
19 Jul 2016 14:39:12 : Cipher , Botfuzzy77#2209 , **Wertfuzzy77**(Grand Master) is now Online!
19 Jul 2016 14:39:20 : Cipher , Wertfuzzy77#0274 , Yeah, EV training op
19 Jul 2016 14:39:37 : Cipher , Kburn1999#5526 , i only killed 2 of his
19 Jul 2016 14:40:52 : Cipher , Wertfuzzy77#0274 , Like I said before lol, sky op
19 Jul 2016 14:40:59 : Cipher , Kburn1999#5526 , yep
19 Jul 2016 14:41:55 : Cipher , Kburn1999#5526 , too bad i cant use moltres on him
19 Jul 2016 14:49:07 : Cipher , Botfuzzy77#2209 , **Wertfuzzy77**(Grand Master) is now Online!
19 Jul 2016 14:49:19 : Cipher , Wertfuzzy77#0274 , Yeah, that would be op tho
19 Jul 2016 14:50:28 : Cipher , Kburn1999#5526 , hello
19 Jul 2016 14:50:29 : Cipher , Botfuzzy77#2209 , *From The Other Side*
19 Jul 2016 14:50:45 : Cipher , Botfuzzy77#2209 , Not a Valid Link, Please only use URLs from youtube.com
19 Jul 2016 14:50:45 : Cipher , Kburn1999#5526 , ;youtube https://www.youtube.com/watch?v=y2A3hLMWk6M
19 Jul 2016 14:51:06 : Cipher , Botfuzzy77#2209 , **The Following songs are in the Queue**
19 Jul 2016 14:51:06 : Cipher , Botfuzzy77#2209 , Daniel Kyre - What If I'm Right? [OFFICIAL AUDIO] (https://www.youtube.com/watch?v=iYNYaKOYbjA&feature=youtu.be)
Total Time is 0:03:26
19 Jul 2016 14:55:08 : League Of Legends , Botfuzzy77#2209 , **Aethex**(Aethex) is now Online!
19 Jul 2016 14:56:33 : Cipher , Kburn1999#5526 , ;youtube https://www.youtube.com/watch?v=QpTpPmrbwvI
19 Jul 2016 15:03:00 : Cipher , Kburn1999#5526 , 100 more kills for my damn fiery orb
19 Jul 2016 15:03:03 : League Of Legends , Botfuzzy77#2209 , **AlphaBit(AlphaWeeb)**(@everyone) is now Online!
19 Jul 2016 15:03:03 : Cipher , Botfuzzy77#2209 , **AlphaBit(AlphaWeeb)**(Grunt) is now Online!
19 Jul 2016 15:03:38 : Cipher , Botfuzzy77#2209 , **Allianths**(Officer) is now Online!
19 Jul 2016 15:06:14 : Cipher , Botfuzzy77#2209 , **Akincifenwa**(Grunt) is now Online!
19 Jul 2016 15:11:19 : League Of Legends , Botfuzzy77#2209 , **AlphaBit(AlphaWeeb)**(@everyone) is now Online!
19 Jul 2016 15:11:19 : Cipher , Botfuzzy77#2209 , **AlphaBit(AlphaWeeb)**(Grunt) is now Online!
19 Jul 2016 15:11:27 : LimitlessMc , Mystz#8072 , le
19 Jul 2016 15:11:29 : Cipher , Allianths#4161 , hep me
19 Jul 2016 15:11:32 : Cipher , Allianths#4161 , ;hep
19 Jul 2016 15:11:32 : Cipher , Botfuzzy77#2209 , Dont Be Lazy, Type ;help
19 Jul 2016 15:11:35 : Cipher , AlphaBit(AlphaWeeb)#3869 , Lmao i think i  broke alli
19 Jul 2016 15:11:57 : Cipher , AlphaBit(AlphaWeeb)#3869 , Was happening to you lol
19 Jul 2016 15:11:59 : Cipher , Kburn1999#5526 , lol
19 Jul 2016 15:12:52 : Cipher , Botfuzzy77#2209 , **Topheralan**(Admin) is now Online!
19 Jul 2016 15:26:28 : Cipher , Botfuzzy77#2209 , **AlphaBit(AlphaWeeb)**(Grunt) is now Online!
19 Jul 2016 15:26:28 : League Of Legends , Botfuzzy77#2209 , **AlphaBit(AlphaWeeb)**(@everyone) is now Online!
19 Jul 2016 15:27:30 : Cipher , Botfuzzy77#2209 , **Allianths**(Officer) is now Online!
19 Jul 2016 15:27:45 : LimitlessMc , Allianths#4161 , ;hep
19 Jul 2016 15:27:46 : LimitlessMc , Botfuzzy77#2209 , Dont Be Lazy, Type ;help
19 Jul 2016 15:53:36 : LimitlessMc , depthy#3405 , HAPPY BIRTHDAY  @Wickedshot#0171
19 Jul 2016 15:53:45 : The Pleb Privateers , enragednuke#2565 , lol
19 Jul 2016 15:55:20 : Cipher , Botfuzzy77#2209 , **Wertfuzzy77**(Grand Master) is now Online!
19 Jul 2016 15:55:29 : Cipher , Wertfuzzy77#0274 , ;afk gardening apparently
19 Jul 2016 15:55:29 : Cipher , Botfuzzy77#2209 , Wertfuzzy77 is now AFK for reason:
**gardening apparently**
19 Jul 2016 16:04:39 : 02Gaming , Botfuzzy77#2209 , **kayoooooooooo**(Member) is now Online!
19 Jul 2016 16:11:53 : LimitlessMc , PacMen#1450 , hi there
19 Jul 2016 16:12:02 : LimitlessMc , PacMen#1450 , am i allowed to post an image on here?
19 Jul 2016 16:12:08 : LimitlessMc , PacMen#1450 , i think i spotted a glitch
19 Jul 2016 16:13:32 : Cipher , Botfuzzy77#2209 , **Wertfuzzy77**(Grand Master) is now Online!
19 Jul 2016 16:18:00 : Cipher , Botfuzzy77#2209 , **Wertfuzzy77**(Grand Master) is now Online!
19 Jul 2016 16:22:07 : 02Gaming , Botfuzzy77#2209 , **kayoooooooooo**(Member) is now Online!
19 Jul 2016 16:30:35 : League Of Legends , Botfuzzy77#2209 , **AlphaBit(AlphaWeeb)**(@everyone) is now Online!
19 Jul 2016 16:30:35 : Cipher , Botfuzzy77#2209 , **AlphaBit(AlphaWeeb)**(Grunt) is now Online!
19 Jul 2016 16:32:10 : 02Gaming , Botfuzzy77#2209 , **kayoooooooooo**(Member) is now Online!
19 Jul 2016 16:33:50 : LimitlessMc , BethUR#5559 , If the glitch is a beld item dupe, we already know.
19 Jul 2016 16:39:35 : LimitlessMc , PacMen#1450 , what about when pokemon randomly transform into other pokemon?
19 Jul 2016 16:40:33 : Cipher , Botfuzzy77#2209 , **AlphaBit(AlphaWeeb)**(Grunt) is now Online!
19 Jul 2016 16:40:33 : League Of Legends , Botfuzzy77#2209 , **AlphaBit(AlphaWeeb)**(@everyone) is now Online!
19 Jul 2016 16:41:02 : Cipher , AlphaBit(AlphaWeeb)#3869 , No escape now nero lol
19 Jul 2016 16:44:00 : Cipher , Botfuzzy77#2209 , **AlphaBit(AlphaWeeb)**(Grunt) is now Online!
19 Jul 2016 16:44:00 : League Of Legends , Botfuzzy77#2209 , **AlphaBit(AlphaWeeb)**(@everyone) is now Online!
19 Jul 2016 16:44:04 : Cipher , Botfuzzy77#2209 , **Allianths**(Officer) is now Online!
19 Jul 2016 16:44:14 : League Of Legends , Botfuzzy77#2209 , **PaPazZheng**(@everyone) is now Online!
19 Jul 2016 16:44:23 : LimitlessMc , swclone#1132 , rip server
19 Jul 2016 16:44:28 : LimitlessMc , AlphaBit(AlphaWeeb)#3869 , Visual bugs yo
19 Jul 2016 16:44:38 : Cipher , Botfuzzy77#2209 , **D3NSH1N**(Grunt) is now Online!
19 Jul 2016 16:45:38 : Cipher , Allianths#4161 , ;clever hello
19 Jul 2016 16:45:39 : Cipher , Botfuzzy77#2209 , I want to take over the world.
19 Jul 2016 16:45:52 : Cipher , Allianths#4161 , ;clever that's nice to know, goodluck
19 Jul 2016 16:45:52 : Cipher , Botfuzzy77#2209 , How are you doing, BEN?
19 Jul 2016 16:46:09 : Cipher , Allianths#4161 , ;clever Rip uncle ben
19 Jul 2016 16:46:10 : Cipher , Botfuzzy77#2209 , You sound depressing.
19 Jul 2016 16:46:36 : Cipher , Allianths#4161 , ;clever depressing's my middle name
19 Jul 2016 16:46:36 : Cipher , Botfuzzy77#2209 , Well what is your first name?
19 Jul 2016 16:47:19 : Cipher , Allianths#4161 , ;clever melancholy
19 Jul 2016 16:47:21 : Cipher , Botfuzzy77#2209 , That is a stupid color.
19 Jul 2016 16:47:30 : Cipher , Allianths#4161 , ;clever mean, that's my first name
19 Jul 2016 16:47:30 : Cipher , Botfuzzy77#2209 , Really? What's you middle name?
19 Jul 2016 16:47:42 : Cipher , Allianths#4161 , ;clever depressing
19 Jul 2016 16:47:43 : Cipher , Botfuzzy77#2209 , Do you like gloom weather?
19 Jul 2016 16:48:01 : Cipher , Allianths#4161 , ;clever how did you know my last name?
19 Jul 2016 16:48:02 : Cipher , Botfuzzy77#2209 , I don't know your last name.
19 Jul 2016 16:48:10 : Cipher , Allianths#4161 , ;clever it's gloom
19 Jul 2016 16:48:11 : Cipher , Botfuzzy77#2209 , Charlie Jones is your name?
19 Jul 2016 16:48:35 : Cipher , Allianths#4161 , ;clever am i supposed to know who that is?
19 Jul 2016 16:48:35 : Cipher , Botfuzzy77#2209 , If you knew - you would have already achieved your mission.
19 Jul 2016 16:48:44 : Cipher , Allianths#4161 , ;clever and what is my mission?
