13 Jul 2016 00:18:12 : Cipher , Wertfuzzy77#0274 , ;join
13 Jul 2016 00:18:16 : Cipher , Wertfuzzy77#0274 , ;playlist Maroon
13 Jul 2016 00:18:21 : Cipher , Botfuzzy77#2209 , Finished Adding songs from playlist(s)
13 Jul 2016 00:19:53 : Cipher , Wertfuzzy77#0274 , ;songs
13 Jul 2016 00:19:53 : Cipher , Botfuzzy77#2209 , The Following songs are in the Queue
13 Jul 2016 00:19:53 : Cipher , Botfuzzy77#2209 , Maroon 5 - Moves Like Jagger ft. Christina Aguilera (https://www.youtube.com/watch?v=iEPTlhBmwRg)

13 Jul 2016 00:19:53 : Cipher , Botfuzzy77#2209 , Maroon 5 - Maps (Explicit) (https://www.youtube.com/watch?v=NmugSMBh_iI)

13 Jul 2016 00:19:53 : Cipher , Botfuzzy77#2209 , Maroon 5 - Sugar (https://www.youtube.com/watch?v=09R8_2nJtjg)

13 Jul 2016 00:19:53 : Cipher , Botfuzzy77#2209 , Maroon 5 - Payphone (Explicit) ft. Wiz Khalifa (https://www.youtube.com/watch?v=KRaWnd3LJfs)

13 Jul 2016 00:20:46 : Cipher , Wertfuzzy77#0274 , ;relog
13 Jul 2016 00:20:46 : Cipher , Botfuzzy77#2209 , Relogging...
