10 Jul 2016 02:29:52 : LimitlessMc , RoyGasm ;)#7098 , wtf racists
10 Jul 2016 02:29:52 : LimitlessMc , Genesect#6492 , btr
10 Jul 2016 02:29:55 : LimitlessMc , Wertfuzzy77#0274 , ;mute Genesect
10 Jul 2016 02:29:55 : LimitlessMc , Botfuzzy77#2209 , Something went Wrong: Forbidden
10 Jul 2016 02:30:01 : LimitlessMc , RoyGasm ;)#7098 , le
10 Jul 2016 02:30:02 : LimitlessMc , Wertfuzzy77#0274 , <@128244218761183232>  hep
10 Jul 2016 02:30:03 : LimitlessMc , Genesect#6492 , le
10 Jul 2016 02:30:04 : LimitlessMc , Wertfuzzy77#0274 , need perms
10 Jul 2016 02:30:07 : LimitlessMc , Genesect#6492 , ;hep
10 Jul 2016 02:30:07 : LimitlessMc , Botfuzzy77#2209 , Dont Be Lazy, Type ;help
10 Jul 2016 02:30:17 : The Pleb Privateers , enragednuke#2565 , <@!126122455248011265>
10 Jul 2016 02:30:21 : The Pleb Privateers , enragednuke#2565 , 4Head
10 Jul 2016 02:30:30 : The Pleb Privateers , enragednuke#2565 , <@!126122455248011265>
10 Jul 2016 02:30:33 : The Pleb Privateers , enragednuke#2565 , ;afk
10 Jul 2016 02:30:33 : The Pleb Privateers , Botfuzzy77#2209 , enragednuke is no Longer AFK
10 Jul 2016 02:30:35 : The Pleb Privateers , enragednuke#2565 , ?back
10 Jul 2016 02:30:35 : The Pleb Privateers , enragedrobo#6009 , You are no longer afk.
10 Jul 2016 02:31:33 : The Pleb Privateers , enragednuke#2565 , [rec]
10 Jul 2016 02:31:35 : The Pleb Privateers , enragedrobo#6009 , There was an issue searching **rec**. It's likely that the title contains characters not supported by Discord/Python's basic text engine

If this is not the case, please send this bot a message starting with `BUG ` and report the issue! Thanks!
10 Jul 2016 02:31:42 : Cipher , RoyGasm ;)#7098 , NEVER HEARD THIS
10 Jul 2016 02:31:45 : The Pleb Privateers , Wertfuzzy77#0274 , lol rip
