13 Jul 2016 19:25:41 : Cipher , Wertfuzzy77#0274 , ;join
13 Jul 2016 19:25:48 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=OPf0YbXqDm0
13 Jul 2016 19:28:10 : Cipher , Wertfuzzy77#0274 , ;songs
13 Jul 2016 19:28:10 : Cipher , Botfuzzy77#2209 , Queue is Empty
13 Jul 2016 19:28:14 : Cipher , Wertfuzzy77#0274 , ;reload
13 Jul 2016 19:28:14 : Cipher , Botfuzzy77#2209 , Reloaded all Modules
13 Jul 2016 19:28:21 : Cipher , Wertfuzzy77#0274 , ;join
13 Jul 2016 19:28:47 : Cipher , Wertfuzzy77#0274 , ;reload
13 Jul 2016 19:28:47 : Cipher , Botfuzzy77#2209 , Reloaded all Modules
13 Jul 2016 19:28:49 : Cipher , Wertfuzzy77#0274 , ;join
13 Jul 2016 19:29:36 : Cipher , Wertfuzzy77#0274 , ;reload
13 Jul 2016 19:29:36 : Cipher , Botfuzzy77#2209 , Reloaded all Modules
13 Jul 2016 19:29:38 : Cipher , Wertfuzzy77#0274 , ;join
13 Jul 2016 19:29:54 : Cipher , Wertfuzzy77#0274 , ;relog
