23 Jun 2016 00:08:03 : LimitlessMc , Genesect#6492 , it never said i left tho
23 Jun 2016 00:08:25 : LimitlessMc , Genesect#6492 , its not working
23 Jun 2016 00:08:35 : LimitlessMc , Genesect#6492 , i think im stuck on the server
23 Jun 2016 00:08:39 : LimitlessMc , Genesect#6492 , but im not really on it
23 Jun 2016 00:09:38 : LimitlessMc , Genesect#6492 , still nothing
23 Jun 2016 00:10:09 : LimitlessMc , Mank#0033 , lele banned your ip
23 Jun 2016 00:10:31 : LimitlessMc , Genesect#6492 , ty
23 Jun 2016 00:10:31 : LimitlessMc , Mank#0033 , console getting spammed so no way to unban your ip unless u msg me ur ip
23 Jun 2016 00:10:36 : LimitlessMc , Genesect#6492 , lol
23 Jun 2016 00:10:37 : LimitlessMc , Genesect#6492 , idk my ip
23 Jun 2016 00:10:43 : LimitlessMc , Mank#0033 , google whats my ip
23 Jun 2016 00:10:46 : LimitlessMc , Genesect#6492 , i shall google
23 Jun 2016 00:10:47 : LimitlessMc , Genesect#6492 , ypu
23 Jun 2016 00:10:48 : LimitlessMc , Genesect#6492 , yup
23 Jun 2016 00:11:51 : LimitlessMc , Mank#0033 , posting your ip on hackforums thanks retard
23 Jun 2016 00:12:04 : LimitlessMc , ThaOriginal#5897 , lmfao rekt
23 Jun 2016 00:12:13 : LimitlessMc , Mank#0033 , jk :3
23 Jun 2016 00:12:23 : LimitlessMc , Genesect#6492 , its just my public ip
23 Jun 2016 00:12:34 : LimitlessMc , ThaOriginal#5897 , yeah.. you're gonna get hacked
23 Jun 2016 00:12:34 : LimitlessMc , Genesect#6492 , it's almost impossible to do anything with
23 Jun 2016 00:12:36 : LimitlessMc , Nalk Xulk Uk Eht#7098 , i would do it <@151438890107011072>
23 Jun 2016 00:12:41 : LimitlessMc , Genesect#6492 , unless you know what your doing
23 Jun 2016 00:12:58 : LimitlessMc , Mank#0033 , u using a vpn
23 Jun 2016 00:13:03 : LimitlessMc , Genesect#6492 , no
23 Jun 2016 00:13:08 : LimitlessMc , Mank#0033 , then i can
23 Jun 2016 00:13:10 : LimitlessMc , Genesect#6492 , f u
23 Jun 2016 00:13:13 : LimitlessMc , Genesect#6492 , do it pussy
23 Jun 2016 00:13:14 : LimitlessMc , Genesect#6492 , bet
23 Jun 2016 00:13:15 : LimitlessMc , ThaOriginal#5897 , told you
23 Jun 2016 00:13:46 : LimitlessMc , ThaOriginal#5897 , watch ill start up my booter
23 Jun 2016 00:13:51 : LimitlessMc , ThaOriginal#5897 , send me ip pls
23 Jun 2016 00:13:53 : LimitlessMc , Genesect#6492 , still nothing
23 Jun 2016 00:13:57 : LimitlessMc , Mank#0033 , http://hackforums.net/
23 Jun 2016 00:14:08 : LimitlessMc , Genesect#6492 , mank stop
23 Jun 2016 00:14:10 : LimitlessMc , Genesect#6492 , pleb
23 Jun 2016 00:14:15 : LimitlessMc , ThaOriginal#5897 , i already made my own
23 Jun 2016 00:14:27 : LimitlessMc , ThaOriginal#5897 , sends out 1kbps packets per 10 secs
23 Jun 2016 00:14:37 : LimitlessMc , ThaOriginal#5897 , its so fast
23 Jun 2016 00:14:37 : LimitlessMc , Nalk Xulk Uk Eht#7098 , wtf is hackforums? kek
23 Jun 2016 00:14:39 : LimitlessMc , Mank#0033 , send it to me
23 Jun 2016 00:14:47 : LimitlessMc , Mank#0033 , i gonna take down limit
23 Jun 2016 00:14:57 : LimitlessMc , Genesect#6492 , maybe that will work
23 Jun 2016 00:14:58 : LimitlessMc , ThaOriginal#5897 , i already tested it on it
