10 Jul 2016 22:50:36 : LimitlessMc , Wertfuzzy77#0274 , perfect
10 Jul 2016 22:50:41 : LimitlessMc , Stormzzzy#3051 , ikr
10 Jul 2016 22:50:57 : LimitlessMc , Stormzzzy#3051 , !meme she left me for a toaster
10 Jul 2016 22:51:03 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/17787d.jpg
10 Jul 2016 22:51:09 : LimitlessMc , Wertfuzzy77#0274 , garbage
10 Jul 2016 22:51:10 : LimitlessMc , Stormzzzy#3051 , xD
10 Jul 2016 22:51:23 : LimitlessMc , Wertfuzzy77#0274 , <@!158641216311787520>  step up your meme game
10 Jul 2016 22:51:26 : LimitlessMc , Gerald#7099 , In english.. That's right.
10 Jul 2016 22:52:06 : LimitlessMc , Stormzzzy#3051 , !meme wake me up
10 Jul 2016 22:52:07 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/17789c.jpg
10 Jul 2016 22:52:27 : LimitlessMc , Wertfuzzy77#0274 , !meme when September ends
10 Jul 2016 22:52:28 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778a3.jpg
10 Jul 2016 22:53:16 : LimitlessMc , Stormzzzy#3051 , !meme im gonna bung ur booce
10 Jul 2016 22:53:17 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778br.jpg
10 Jul 2016 22:53:52 : LimitlessMc , Stormzzzy#3051 , !meme no this is patrick
10 Jul 2016 22:53:54 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778cx.jpg
10 Jul 2016 22:54:24 : LimitlessMc , Stormzzzy#3051 , !meme dank memes
10 Jul 2016 22:54:26 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778dt.jpg
10 Jul 2016 22:55:14 : LimitlessMc , Stormzzzy#3051 , !meme aaayyyyy lmao
10 Jul 2016 22:55:15 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778fi.jpg
10 Jul 2016 22:55:18 : LimitlessMc , Wertfuzzy77#0274 , ayy
10 Jul 2016 22:55:19 : LimitlessMc , Botfuzzy77#2209 , Lmao
10 Jul 2016 22:55:27 : LimitlessMc , Wertfuzzy77#0274 , hello
10 Jul 2016 22:55:27 : LimitlessMc , Botfuzzy77#2209 , *From The Other Side*
10 Jul 2016 22:55:55 : LimitlessMc , Stormzzzy#3051 , !meme hello from the other side
10 Jul 2016 22:56:02 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778h4.jpg
10 Jul 2016 22:56:29 : LimitlessMc , Stormzzzy#3051 , !meme cheese nips
10 Jul 2016 22:56:31 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778hv.jpg
10 Jul 2016 22:57:06 : LimitlessMc , Stormzzzy#3051 , !meme i want food
10 Jul 2016 22:57:07 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778j2.jpg
10 Jul 2016 22:57:44 : LimitlessMc , Stormzzzy#3051 , !meme mowing the lawn be like
10 Jul 2016 22:57:45 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778ki.jpg
10 Jul 2016 22:58:04 : LimitlessMc , Stormzzzy#3051 , !meme china
10 Jul 2016 22:58:05 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778lc.jpg
10 Jul 2016 22:58:08 : LimitlessMc , Impasta Snake#1447 , !meme Pokemans man
10 Jul 2016 22:58:09 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778lf.jpg
10 Jul 2016 22:58:40 : LimitlessMc , Stormzzzy#3051 , !meme look at my fellow african american over there
10 Jul 2016 22:58:42 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778mh.jpg
10 Jul 2016 22:59:29 : LimitlessMc , Stormzzzy#3051 , !meme im out of pepsi
10 Jul 2016 22:59:31 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778o2.jpg
10 Jul 2016 22:59:41 : LimitlessMc , Stormzzzy#3051 , !meme this is a meme
10 Jul 2016 22:59:43 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778ol.jpg
10 Jul 2016 23:00:09 : LimitlessMc , Stormzzzy#3051 , !meme wanna go out?
10 Jul 2016 23:00:10 : LimitlessMc , Gerald#7099 , http://i.imgflip.com/1778p4.jpg
10 Jul 2016 23:00:19 : LimitlessMc , Wertfuzzy77#0274 , ;relog
10 Jul 2016 23:00:19 : LimitlessMc , Botfuzzy77#2209 , Relogging...
