17 Dec 2017 03:50:22 : FAM, videos-and-music, darthbot98#5182, Connected channel!
17 Dec 2017 03:50:42 : FAM, videos-and-music, darthbot98#5182, Not a Valid Link, Please only use URLs from youtube.com or soundcloud.com
17 Dec 2017 03:51:08 : FAM, videos-and-music, darthbot98#5182, Recommend Songs to play: True
17 Dec 2017 03:53:13 : FAM, videos-and-music, darthbot98#5182, Finished Adding songs from playlist
17 Dec 2017 06:57:42 : darth, general, darth kota#9446, ;join
17 Dec 2017 06:57:43 : darth, general, darthbot98#5182, Connected channel!
17 Dec 2017 06:57:53 : darth, general, darth kota#9446, ;search twilight zone
17 Dec 2017 06:57:56 : darth, general, darthbot98#5182, Added Golden Earring - Twilight Zone  (Video) to the queue
17 Dec 2017 06:57:56 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=wIaaBuGNwNw
17 Dec 2017 07:00:32 : darth, general, darth kota#9446, ;relog
