21 Jul 2016 05:11:47 : Cipher, general, Botfuzzy77#2209, **Kburn1999**(Grunt) is now Offline!
21 Jul 2016 05:11:56 : League Of Legends, general, Legit_0reo#9709, _tts im havaing too much fun with this
21 Jul 2016 05:11:56 : League Of Legends, general, GN4R#8315, im havaing too much fun with this
21 Jul 2016 05:12:03 : League Of Legends, general, RoyGasm#7098, _tts ^
21 Jul 2016 05:12:03 : League Of Legends, general, GN4R#8315, ^
21 Jul 2016 05:12:03 : League Of Legends, general, Botfuzzy77#2209, ^
21 Jul 2016 05:12:08 : League Of Legends, general, RoyGasm#7098, lele
21 Jul 2016 05:12:12 : League Of Legends, general, Legit_0reo#9709, _tts fagafg fagfagfagfagafgafaga
21 Jul 2016 05:12:12 : League Of Legends, general, GN4R#8315, fagafg fagfagfagfagafgafaga
21 Jul 2016 05:12:19 : League Of Legends, general, RoyGasm#7098, can't join
21 Jul 2016 05:12:30 : League Of Legends, general, TheLast1Alive#7757, ?
21 Jul 2016 05:12:30 : League Of Legends, general, RoyGasm#7098, lele
21 Jul 2016 05:12:38 : League Of Legends, general, Legit_0reo#9709, _tts mankaran
21 Jul 2016 05:12:38 : League Of Legends, general, GN4R#8315, mankaran
21 Jul 2016 05:12:39 : League Of Legends, general, RoyGasm#7098, _tts need 16 characters
21 Jul 2016 05:12:39 : League Of Legends, general, GN4R#8315, need 16 characters
21 Jul 2016 05:12:51 : League Of Legends, general, Legit_0reo#9709, _tts nignigninginginigninging
21 Jul 2016 05:12:51 : League Of Legends, general, GN4R#8315, nignigninginginigninging
21 Jul 2016 05:12:57 : League Of Legends, general, RoyGasm#7098, le
21 Jul 2016 05:12:58 : League Of Legends, general, RoyGasm#7098, do this
21 Jul 2016 05:13:02 : League Of Legends, general, RoyGasm#7098, lmfao this is fun
21 Jul 2016 05:13:04 : League Of Legends, general, RoyGasm#7098, do this
21 Jul 2016 05:13:06 : League Of Legends, general, Legit_0reo#9709, _tts lmfao this is fun
21 Jul 2016 05:13:06 : League Of Legends, general, GN4R#8315, lmfao this is fun
21 Jul 2016 05:13:13 : League Of Legends, general, RoyGasm#7098, _tts @@@@@@@@@@@@
21 Jul 2016 05:13:13 : League Of Legends, general, GN4R#8315, @@@@@@@@@@@@
21 Jul 2016 05:13:15 : League Of Legends, general, RoyGasm#7098, lele
21 Jul 2016 05:13:17 : League Of Legends, general, Legit_0reo#9709, _tts lmfaolmfaoflmaofalmorfalmoafm
21 Jul 2016 05:13:17 : League Of Legends, general, GN4R#8315, lmfaolmfaoflmaofalmorfalmoafm
21 Jul 2016 05:13:24 : League Of Legends, general, RoyGasm#7098, @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
21 Jul 2016 05:13:30 : League Of Legends, general, Legit_0reo#9709, _tts !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
21 Jul 2016 05:13:30 : League Of Legends, general, GN4R#8315, !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
21 Jul 2016 05:13:32 : League Of Legends, general, RoyGasm#7098, lele
21 Jul 2016 05:13:38 : League Of Legends, general, Legit_0reo#9709, _tts $$$$$$
21 Jul 2016 05:13:38 : League Of Legends, general, GN4R#8315, $$$$$$
21 Jul 2016 05:13:45 : League Of Legends, general, Legit_0reo#9709, _tts &&&&&&&&&&&&&&&&&&
21 Jul 2016 05:13:45 : League Of Legends, general, GN4R#8315, &&&&&&&&&&&&&&&&&&
21 Jul 2016 05:13:50 : League Of Legends, general, RoyGasm#7098, lmfao
21 Jul 2016 05:13:51 : League Of Legends, general, Legit_0reo#9709, wtf lmfao
21 Jul 2016 05:13:56 : League Of Legends, general, Legit_0reo#9709, _tts (((((((((((((((((((((((((((((((((((((((
21 Jul 2016 05:13:56 : League Of Legends, general, GN4R#8315, (((((((((((((((((((((((((((((((((((((((
21 Jul 2016 05:14:00 : League Of Legends, general, RoyGasm#7098, =====
21 Jul 2016 05:14:01 : League Of Legends, general, TheLast1Alive#7757, Join
21 Jul 2016 05:14:05 : League Of Legends, general, TheLast1Alive#7757, Lukas
21 Jul 2016 05:14:08 : League Of Legends, general, RoyGasm#7098, ==========================================
21 Jul 2016 05:14:20 : League Of Legends, general, Legit_0reo#9709, _tts black people are =
21 Jul 2016 05:14:20 : League Of Legends, general, GN4R#8315, black people are =
21 Jul 2016 05:14:25 : League Of Legends, general, RoyGasm#7098, ฟ
21 Jul 2016 05:14:37 : League Of Legends, general, Legit_0reo#9709, _tts fuck my ureatha
21 Jul 2016 05:14:38 : League Of Legends, general, GN4R#8315, fuck my ureatha
21 Jul 2016 05:14:42 : League Of Legends, general, RoyGasm#7098, -<.zด+{}**][จจ
21 Jul 2016 05:14:54 : League Of Legends, general, Legit_0reo#9709, _tts bull fucking shit mother fucker
21 Jul 2016 05:14:55 : League Of Legends, general, GN4R#8315, bull fucking shit mother fucker
21 Jul 2016 05:14:58 : League Of Legends, general, RoyGasm#7098, _lol
21 Jul 2016 05:14:58 : League Of Legends, general, GN4R#8315, Account not found or there was an error connecting to the LoL API
Here is what I was able to get: 

21 Jul 2016 05:15:06 : League Of Legends, general, RoyGasm#7098, ?
21 Jul 2016 05:15:10 : League Of Legends, general, Legit_0reo#9709, _tts justingopgamer is op
21 Jul 2016 05:15:10 : League Of Legends, general, GN4R#8315, justingopgamer is op
21 Jul 2016 05:15:13 : League Of Legends, general, RoyGasm#7098, _lol tes?
21 Jul 2016 05:15:14 : League Of Legends, general, GN4R#8315, Account not found or there was an error connecting to the LoL API
Here is what I was able to get: 

21 Jul 2016 05:15:16 : League Of Legends, general, Legit_0reo#9709, justing gop gamer
21 Jul 2016 05:15:18 : League Of Legends, general, Legit_0reo#9709, lmfao
21 Jul 2016 05:15:20 : League Of Legends, general, RoyGasm#7098, _lol Roy210
21 Jul 2016 05:15:24 : League Of Legends, general, GN4R#8315, Account not found or there was an error connecting to the LoL API
Here is what I was able to get: 

21 Jul 2016 05:15:24 : League Of Legends, general, RoyGasm#7098, i guess
21 Jul 2016 05:15:27 : League Of Legends, general, RoyGasm#7098, kys
21 Jul 2016 05:15:28 : League Of Legends, general, Legit_0reo#9709, _tts lukasplayzdiscord is so kool
21 Jul 2016 05:15:28 : League Of Legends, general, GN4R#8315, lukasplayzdiscord is so kool
21 Jul 2016 05:15:35 : League Of Legends, general, Legit_0reo#9709, _tts sike nigga
21 Jul 2016 05:15:37 : League Of Legends, general, GN4R#8315, sike nigga
21 Jul 2016 05:15:42 : League Of Legends, general, RoyGasm#7098, _whois
21 Jul 2016 05:15:42 : League Of Legends, general, GN4R#8315, You did not mention a valid user.
21 Jul 2016 05:15:53 : League Of Legends, general, Legit_0reo#9709, _tts i want to orgasm on alends face no homo
21 Jul 2016 05:15:53 : League Of Legends, general, GN4R#8315, i want to orgasm on alends face no homo
21 Jul 2016 05:15:55 : League Of Legends, general, RoyGasm#7098, _whois Legit_0reo
21 Jul 2016 05:15:59 : League Of Legends, general, RoyGasm#7098, kys
21 Jul 2016 05:16:01 : League Of Legends, general, Legit_0reo#9709, _tts wtf
21 Jul 2016 05:16:08 : League Of Legends, general, GN4R#8315, wtf
21 Jul 2016 05:16:10 : League Of Legends, general, RoyGasm#7098, _tts @Lukasplayzdiscord
21 Jul 2016 05:16:10 : League Of Legends, general, GN4R#8315, @Lukasplayzdiscord
21 Jul 2016 05:16:17 : League Of Legends, general, Legit_0reo#9709, _tts wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
21 Jul 2016 05:16:17 : League Of Legends, general, GN4R#8315, wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
21 Jul 2016 05:16:20 : League Of Legends, general, RoyGasm#7098, go me
21 Jul 2016 05:16:29 : League Of Legends, general, RoyGasm#7098, _whois @Lukasplayzdiscord
21 Jul 2016 05:16:38 : League Of Legends, general, RoyGasm#7098, _who is TheLast1Alive
21 Jul 2016 05:16:42 : League Of Legends, general, Legit_0reo#9709, _who
21 Jul 2016 05:16:48 : League Of Legends, general, Legit_0reo#9709, _help
21 Jul 2016 05:16:50 : League Of Legends, general, RoyGasm#7098, _whois TheLast1Alive
21 Jul 2016 05:16:53 : League Of Legends, general, RoyGasm#7098, kys
21 Jul 2016 05:17:08 : League Of Legends, general, RoyGasm#7098, _discordgold
21 Jul 2016 05:17:12 : League Of Legends, general, GN4R#8315, ```xl
Discord Gold is required to view this message.
```
21 Jul 2016 05:17:24 : League Of Legends, general, Legit_0reo#9709, _play meglovania
