14 Dec 2017 08:48:40 : FAM, off-topic, darth kota#9446, ;topic a
14 Dec 2017 08:48:40 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:48:45 : FAM, off-topic, darth kota#9446, ;poll1 a
14 Dec 2017 08:48:45 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:48:54 : FAM, off-topic, darth kota#9446, ;poll2 a
14 Dec 2017 08:48:54 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:49:02 : FAM, off-topic, darth kota#9446, ;poll3 a
14 Dec 2017 08:49:02 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:49:07 : FAM, off-topic, darth kota#9446, ;startpoll
14 Dec 2017 08:50:40 : FAM, off-topic, darth kota#9446, ;relog
