29 Jan 2017 20:28:22 : LimitlessMc, botchat, Wertfuzzy77#0274, ;join
29 Jan 2017 20:28:26 : LimitlessMc, botchat, Wertfuzzy77#0274, ;search Adele
29 Jan 2017 20:28:31 : LimitlessMc, botchat, Botfuzzy77#2209, Added Adele - Send My Love (To Your New Lover) to the queue
29 Jan 2017 20:28:31 : LimitlessMc, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=fk4BbF7B29w
29 Jan 2017 20:29:00 : Cipher, cala, Calamariela#4119, haii
29 Jan 2017 20:29:17 : Cipher, cala, Calamariela#4119, mc time lol
29 Jan 2017 20:30:59 : Cipher, cala, Calamariela#4119, i wanna listen BUT
29 Jan 2017 20:31:08 : Cipher, cala, Calamariela#4119, you have the let lizards play
29 Jan 2017 20:31:12 : Cipher, cala, Wertfuzzy77#0274, xD sure
