23 Jul 2017 01:08:49 : Alone Server, bot_chat, Crystal4209#4698, ;pb iiiiiiiiiiiiiii
23 Jul 2017 01:08:49 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:08:49 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:08:50 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 01:08:50 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:08:52 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:08:56 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 01:08:56 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:08:56 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:08:57 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:09:00 : OblivionEvolved, bots, Wertfuzzy77#0274, o
23 Jul 2017 01:09:02 : OblivionEvolved, bots, Wertfuzzy77#0274, ;cd
23 Jul 2017 01:09:02 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:09:37 : Alone Server, bot_chat, Crystal4209#4698, ;pb ggggggggggggggg
23 Jul 2017 01:09:37 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:09:45 : Alone Server, bot_chat, Crystal4209#4698, lol wtf
23 Jul 2017 01:10:34 : LimitlessMc, botchat, Crystal4209#4698, @Wertfuzzy77 xD
23 Jul 2017 01:10:34 : LimitlessMc, botchat, Botfuzzy77#2209, Wertfuzzy77 is afk for reason:
**dinner**
23 Jul 2017 01:10:49 : LimitlessMc, botchat, Wertfuzzy77#0274, lol
23 Jul 2017 01:10:50 : Alone Server, bot_chat, Crystal4209#4698, ;pb ggggggggggggggg
23 Jul 2017 01:10:50 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:10:50 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:10:50 : LimitlessMc, botchat, Wertfuzzy77#0274, ;afk
23 Jul 2017 01:10:50 : LimitlessMc, botchat, Botfuzzy77#2209, Wertfuzzy77 is no Longer AFK
23 Jul 2017 01:11:10 : LimitlessMc, botchat, Wertfuzzy77#0274, xD did you literally just leave this server music and go to your own to play music
23 Jul 2017 01:11:10 : LimitlessMc, botchat, Wertfuzzy77#0274, gg
23 Jul 2017 01:11:43 : LimitlessMc, botchat, Crystal4209#4698, yep xD
23 Jul 2017 01:11:43 : LimitlessMc, botchat, Wertfuzzy77#0274, just fixed that btw
23 Jul 2017 01:11:50 : LimitlessMc, botchat, Wertfuzzy77#0274, next patch will be ints
23 Jul 2017 01:11:50 : LimitlessMc, botchat, Crystal4209#4698, sweet
23 Jul 2017 01:12:10 : LimitlessMc, botchat, Crystal4209#4698, just thought that was funny xD
23 Jul 2017 01:12:24 : LimitlessMc, botchat, Wertfuzzy77#0274, yeah xD gonna be a lot of bugs in the next day or so
23 Jul 2017 01:12:35 : LimitlessMc, botchat, Wertfuzzy77#0274, especially cause I re-wrote a lottttttttt of stuff in the games section
23 Jul 2017 01:12:36 : LimitlessMc, botchat, Crystal4209#4698, sweet i dont mind finding them!
23 Jul 2017 01:12:52 : OblivionEvolved, bots, Wertfuzzy77#0274, ;lv
23 Jul 2017 01:12:54 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:13:05 : Alone Server, bot_chat, Crystal4209#4698, ;pb wwwwwwwwwwwwwww
23 Jul 2017 01:13:05 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:13:05 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:13:12 : OblivionEvolved, bots, Wertfuzzy77#0274, ;ranking
23 Jul 2017 01:13:12 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:13:27 : OblivionEvolved, bots, Wertfuzzy77#0274, ;recent
23 Jul 2017 01:13:27 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:14:13 : LimitlessMc, botchat, Crystal4209#4698, @Wertfuzzy77 so if you had a server that only maintained you could you use forceplay as in someone that doesnt have your perms
23 Jul 2017 01:14:26 : LimitlessMc, botchat, Crystal4209#4698, nvm i think i found the answer to that
23 Jul 2017 01:14:45 : Alone Server, bot_chat, Crystal4209#4698, ;pb eeeeeeeeeeeeeee
23 Jul 2017 01:14:45 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:14:45 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:14:54 : LimitlessMc, botchat, Wertfuzzy77#0274, sure?
23 Jul 2017 01:15:18 : LimitlessMc, botchat, Crystal4209#4698, your confused xD
23 Jul 2017 01:15:30 : OblivionEvolved, bots, Wertfuzzy77#0274, ;train
23 Jul 2017 01:15:30 : OblivionEvolved, bots, Botfuzzy77#2209, Please wait 505 seconds before you can train again.
23 Jul 2017 01:15:32 : OblivionEvolved, bots, Wertfuzzy77#0274, ;cd
23 Jul 2017 01:15:32 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:15:33 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 01:15:34 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:15:34 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:15:35 : OblivionEvolved, bots, Wertfuzzy77#0274, ;mine
23 Jul 2017 01:15:36 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:15:36 : OblivionEvolved, bots, Botfuzzy77#2209, 
23 Jul 2017 01:15:38 : OblivionEvolved, bots, Wertfuzzy77#0274, hmm
23 Jul 2017 01:16:07 : Alone Server, bot_chat, Crystal4209#4698, ;pb ppppppppppppppp
23 Jul 2017 01:16:07 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:16:07 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:16:54 : Alone Server, bot_chat, Crystal4209#4698, ;pb bbbbbbbbbbbbbbb
23 Jul 2017 01:16:54 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:17:09 : Alone Server, bot_chat, Crystal4209#4698, ;pb bbbbbbbbbbbbbbb
23 Jul 2017 01:17:09 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:17:09 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:17:47 : LimitlessMc, botchat, TherminatorX#6644, ;train like never before
23 Jul 2017 01:17:49 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 01:17:50 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 01:17:55 : LimitlessMc, botchat, Crystal4209#4698, ;train
23 Jul 2017 01:17:57 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 01:18:00 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 01:18:04 : Alone Server, bot_chat, Crystal4209#4698, ;pb fffffffffffffff
23 Jul 2017 01:18:04 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:18:19 : Alone Server, bot_chat, Crystal4209#4698, ;pb fffffffffffffff
23 Jul 2017 01:18:20 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:18:21 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:18:54 : LimitlessMc, botchat, Wertfuzzy77#0274, ;train
23 Jul 2017 01:18:55 : LimitlessMc, botchat, Botfuzzy77#2209, Please wait 300 seconds before you can train again.
23 Jul 2017 01:19:13 : LimitlessMc, botchat, Crystal4209#4698, lol
23 Jul 2017 01:19:15 : LimitlessMc, botchat, Wertfuzzy77#0274, new patch incoming
23 Jul 2017 01:19:18 : LimitlessMc, botchat, Crystal4209#4698, nooo
23 Jul 2017 01:19:33 : LimitlessMc, botchat, Crystal4209#4698, at least lemme get a perfect on the boss im fighting
23 Jul 2017 01:19:36 : LimitlessMc, botchat, Crystal4209#4698, almost there
23 Jul 2017 01:19:48 : Alone Server, bot_chat, Crystal4209#4698, ;pb ddddddddddddddd
23 Jul 2017 01:19:48 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:19:48 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:20:26 : LimitlessMc, botchat, Crystal4209#4698, ;cd
23 Jul 2017 01:20:28 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 01:20:55 : LimitlessMc, botchat, Crystal4209#4698, ;settype dragon
23 Jul 2017 01:20:58 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 01:21:22 : Alone Server, bot_chat, Crystal4209#4698, ;cd
23 Jul 2017 01:21:23 : Alone Server, bot_chat, Botfuzzy77#2209, 
23 Jul 2017 01:21:25 : LimitlessMc, botchat, Crystal4209#4698, ;pb fdwddgfsenfiwdi
23 Jul 2017 01:21:28 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 01:21:30 : LimitlessMc, botchat, Botfuzzy77#2209, 
23 Jul 2017 01:21:30 : LimitlessMc, botchat, Wertfuzzy77#0274, gj
23 Jul 2017 01:21:34 : LimitlessMc, botchat, Crystal4209#4698, there we go
