12 Sep 2016 16:38:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:38:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:38:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:38:36 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:38:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:38:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:39:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:39:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:39:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:39:36 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:39:43 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
12 Sep 2016 16:39:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:39:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:40:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:40:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:40:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:40:36 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:40:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:40:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:41:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:41:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:41:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:41:36 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:41:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:41:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:42:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:42:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:42:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:42:36 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:42:43 : Cipher, general, Botfuzzy77#2209, **Fuze**(Grunt) is now Offline!
12 Sep 2016 16:42:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:42:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:43:08 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:43:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:43:17 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Default**(SchutzStaffel) is now Online!
12 Sep 2016 16:43:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:43:36 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:43:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:43:59 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:44:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:44:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:44:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:44:36 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:44:41 : Penguins, general, Botfuzzy77#2209, **Resolate**(Suicune) is now Online!
12 Sep 2016 16:44:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:44:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:45:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:45:08 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
12 Sep 2016 16:45:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:45:16 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Online!
12 Sep 2016 16:45:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:45:36 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:45:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:45:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:46:06 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:46:16 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:46:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:46:36 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:46:46 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:46:56 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:47:06 : GetPlebd, weeaboo-chat, Gilles#3169, @Beep-Boop69 y u do deez?!
12 Sep 2016 16:47:07 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:47:07 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, Por qiw a qui.
12 Sep 2016 16:47:17 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
12 Sep 2016 16:47:27 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Bloodyskills**(No Role) is now Online!
