20 Dec 2017 06:14:35 : FAM, videos-and-music, darth kota#9446, ;join
20 Dec 2017 06:14:36 : FAM, videos-and-music, darthbot98#5182, Reconnected channel!
20 Dec 2017 06:15:24 : FAM, videos-and-music, darth kota#9446, ;search freebird
20 Dec 2017 06:15:51 : FAM, videos-and-music, darth kota#9446, ;search freebird
20 Dec 2017 06:16:41 : darth, general, darth kota#9446, ;join
20 Dec 2017 06:17:30 : darth, general, darthbot98#5182, Reconnected channel!
20 Dec 2017 06:17:30 : darth, general, darth kota#9446, ;search freebird
20 Dec 2017 06:17:49 : darth, general, darth kota#9446, ;relog
20 Dec 2017 06:17:49 : darth, general, darthbot98#5182, Relogging...
