14 Dec 2017 08:50:50 : FAM, off-topic, darth kota#9446, ;topic a
14 Dec 2017 08:50:50 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:50:54 : FAM, off-topic, darth kota#9446, ;poll1 b
14 Dec 2017 08:50:54 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:51:00 : FAM, off-topic, darth kota#9446, ;poll2 c
14 Dec 2017 08:51:00 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:51:05 : FAM, off-topic, darth kota#9446, ;poll3 d
14 Dec 2017 08:51:05 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:51:11 : FAM, off-topic, darth kota#9446, ;startpoll
14 Dec 2017 08:52:56 : FAM, off-topic, darth kota#9446, ;relog
