03 Oct 2016 19:52:49 : LimitlessMc, mainchat, Jay113355#4999, shrines cant be claimed anymore
03 Oct 2016 19:52:58 : LimitlessMc, mainchat, Jay113355#4999, you can use them though claims
03 Oct 2016 19:55:17 : GetPlebd, weeaboo-chat, Harrys#3922, https://www.youtube.com/watch?v=1CC_DygUJy8
03 Oct 2016 19:58:40 : GetPlebd, weeaboo-chat, Harrys#3922, http://imgur.com/gallery/uGDec
03 Oct 2016 20:00:33 : LimitlessMc, mainchat, Lightning#6734, oh good info o: i passed a static one earlier
03 Oct 2016 20:09:19 : The Wild Weebs, music, Wertfuzzy77#0274, ;join
03 Oct 2016 20:09:22 : The Wild Weebs, music, Wertfuzzy77#0274, ;playlist AnimeOpenings AnimeOpenings AnimeOpenings AnimeOpenings
03 Oct 2016 20:10:21 : The Wild Weebs, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
03 Oct 2016 20:15:04 : LimitlessMc, mainchat, Pugs#3166, i got banned
03 Oct 2016 20:15:05 : LimitlessMc, mainchat, Pugs#3166, gg
03 Oct 2016 20:15:19 : LimitlessMc, mainchat, Lightning#6734, lel
03 Oct 2016 20:15:29 : LimitlessMc, mainchat, Pugs#3166, look at my
03 Oct 2016 20:15:36 : LimitlessMc, mainchat, Lightning#6734, i saw when it happened
03 Oct 2016 20:15:38 : LimitlessMc, mainchat, Pugs#3166, thing on the fourms
03 Oct 2016 20:15:44 : LimitlessMc, mainchat, Pugs#3166, look at it the appeal
03 Oct 2016 20:15:45 : LimitlessMc, mainchat, Pugs#3166, lol
03 Oct 2016 20:15:49 : LimitlessMc, mainchat, Lightning#6734, oh the appeal? lel ok
03 Oct 2016 20:15:53 : LimitlessMc, mainchat, Pugs#3166, its funny
03 Oct 2016 20:16:23 : LimitlessMc, mainchat, Lightning#6734, oh man XD
03 Oct 2016 20:16:27 : LimitlessMc, mainchat, Pugs#3166, XD
03 Oct 2016 20:16:28 : LimitlessMc, mainchat, Pugs#3166, hah
03 Oct 2016 20:16:31 : LimitlessMc, mainchat, Lightning#6734, 10/10
03 Oct 2016 20:16:32 : LimitlessMc, mainchat, Harambe#3735, gay
03 Oct 2016 20:28:24 : LimitlessMc, mainchat, Harambe#3735, @Jay113355 that guy isn't the real harambe bb
03 Oct 2016 20:32:53 : LimitlessMc, mainchat, Harambe#3735, @Lightning keep my chicken safe
03 Oct 2016 20:33:09 : LimitlessMc, mainchat, Lightning#6734, it left when you did o-o
03 Oct 2016 20:33:41 : LimitlessMc, mainchat, Lightning#6734, mank u still here? lel
03 Oct 2016 20:33:56 : LimitlessMc, mainchat, Harambe#3735, lmao
03 Oct 2016 20:42:34 : LimitlessMc, mainchat, Pugs#3166, yeh
03 Oct 2016 20:43:09 : LimitlessMc, mainchat, Lightning#6734, join vchat
03 Oct 2016 21:16:36 : The Wild Weebs, music, Wertfuzzy77#0274, ;playlist AnimeOpenings AnimeOpenings AnimeOpenings AnimeOpenings
03 Oct 2016 21:17:19 : The Wild Weebs, music, Botfuzzy77#2209, Finished Adding songs from playlist(s)
03 Oct 2016 21:31:56 : LimitlessMc, mainchat, Harambe#3735, @Jay113355 they're harassing me bb
03 Oct 2016 21:43:50 : LimitlessMc, mainchat, Genesect#6492, die
03 Oct 2016 21:44:36 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77
03 Oct 2016 21:44:37 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77
03 Oct 2016 21:44:38 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77
03 Oct 2016 21:44:39 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77
03 Oct 2016 21:44:44 : The Wild Weebs, music, Wertfuzzy77#0274, league of legos
03 Oct 2016 21:44:47 : The Wild Weebs, music, enragednuke#2565, how long
03 Oct 2016 21:46:34 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77
03 Oct 2016 21:46:35 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77
03 Oct 2016 21:46:36 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77
03 Oct 2016 21:46:42 : The Wild Weebs, music, enragednuke#2565, bruh
03 Oct 2016 21:46:53 : The Wild Weebs, music, Wertfuzzy77#0274, 30 minutes in
03 Oct 2016 21:47:38 : The Wild Weebs, music, enragednuke#2565, so not long
03 Oct 2016 21:47:38 : The Wild Weebs, music, enragednuke#2565, lol
03 Oct 2016 21:47:42 : LimitlessMc, mainchat, Lightning#6734, whats that about?
03 Oct 2016 21:48:04 : LimitlessMc, mainchat, Genesect#6492, shhhh
03 Oct 2016 21:48:13 : LimitlessMc, mainchat, Lightning#6734, nah
03 Oct 2016 21:48:16 : LimitlessMc, mainchat, Genesect#6492, die
03 Oct 2016 21:49:11 : The Wild Weebs, music, Wertfuzzy77#0274, we too 3 inhibs
03 Oct 2016 21:49:13 : The Wild Weebs, music, Wertfuzzy77#0274, gg prob
03 Oct 2016 21:51:10 : The Wild Weebs, music, Wertfuzzy77#0274, yup gg
03 Oct 2016 21:51:39 : The Wild Weebs, music, Wertfuzzy77#0274, nuuuuuuuuuuuuuuuuuu
03 Oct 2016 21:51:41 : The Wild Weebs, music, Wertfuzzy77#0274, A+
03 Oct 2016 21:51:43 : The Wild Weebs, music, Wertfuzzy77#0274, no S
03 Oct 2016 21:51:44 : The Wild Weebs, music, Wertfuzzy77#0274, rip
03 Oct 2016 21:58:57 : LimitlessMc, botchat, Wojo#2833, ;luck
03 Oct 2016 21:58:57 : LimitlessMc, botchat, Botfuzzy77#2209, Wojo's luck is 82.43 out of 100, which is **AMAZING**
03 Oct 2016 21:59:33 : The Wild Weebs, music, enragednuke#2565, ok well I gotta shit then we can go
03 Oct 2016 22:00:07 : The Wild Weebs, music, Wertfuzzy77#0274, thanks for sharing
03 Oct 2016 22:00:14 : The Wild Weebs, music, enragednuke#2565, xd
03 Oct 2016 22:01:27 : LimitlessMc, botchat, Harambe#3735, ;luck
03 Oct 2016 22:01:27 : LimitlessMc, botchat, Botfuzzy77#2209, Harambe's luck is 18.27 out of 100, which is **Completly Horrible**
03 Oct 2016 22:01:30 : LimitlessMc, botchat, Harambe#3735, kk
03 Oct 2016 22:08:36 : The Wild Weebs, music, enragednuke#2565, @Wertfuzzy77 I'm leaving now
03 Oct 2016 22:09:54 : The Wild Weebs, music, Wertfuzzy77#0274, sure
03 Oct 2016 22:09:58 : The Wild Weebs, music, Wertfuzzy77#0274, we will meet you there
03 Oct 2016 22:11:47 : The Wild Weebs, music, Wertfuzzy77#0274, ;song
03 Oct 2016 22:53:21 : LimitlessMc, botchat, StarwinnerCraft#7465, ;luck
03 Oct 2016 22:53:22 : LimitlessMc, botchat, Botfuzzy77#2209, StarwinnerCraft's luck is 75.21 out of 100, which is **Pretty Good**
03 Oct 2016 22:53:23 : LimitlessMc, mainchat, Dowritox#0220, Keem Star
03 Oct 2016 22:53:26 : LimitlessMc, botchat, StarwinnerCraft#7465, ;luck
