13 Aug 2016 23:06:08 : LimitlessMc, mainchat, ZyroPlayz#3967, z
13 Aug 2016 23:06:19 : LimitlessMc, mainchat, Tomas1O1#4667, @Mank lol
13 Aug 2016 23:06:45 : LimitlessMc, mainchat, Tomas1O1#4667, fine heres your team insinct
13 Aug 2016 23:06:46 : LimitlessMc, mainchat, Tomas1O1#4667, http://giphy.com/gifs/rtg-pokemon-instinct-team-l0HlvGZXSgzNtY7OU
13 Aug 2016 23:06:53 : LimitlessMc, mainchat, ZyroPlayz#3967, he lied to us
13 Aug 2016 23:06:54 : LimitlessMc, mainchat, ZyroPlayz#3967, ;-;
13 Aug 2016 23:07:10 : LimitlessMc, mainchat, ZyroPlayz#3967, thunder sweg
13 Aug 2016 23:07:15 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Offline!
13 Aug 2016 23:07:17 : LimitlessMc, mainchat, Tomas1O1#4667, I'm just gonna say,
Team Instinct is Team Extinct
13 Aug 2016 23:07:20 : LimitlessMc, mainchat, Tomas1O1#4667, lol idk
13 Aug 2016 23:07:42 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Online!
13 Aug 2016 23:07:43 : LimitlessMc, mainchat, Tomas1O1#4667, <:goMystic:210471830039822338>  <:goInstinct:210471976999845890>  <:goValor:210471783470596096>
13 Aug 2016 23:08:02 : LimitlessMc, mainchat, ZyroPlayz#3967, we should have a battle
13 Aug 2016 23:08:12 : LimitlessMc, mainchat, Tomas1O1#4667, I just started so, I can't lol
13 Aug 2016 23:08:20 : LimitlessMc, mainchat, ZyroPlayz#3967, someone get all three of the legend birds and whoever wins gg
13 Aug 2016 23:08:45 : LimitlessMc, mainchat, Tomas1O1#4667, *slaps u with magikarp and keeps slapping u*
13 Aug 2016 23:08:51 : LimitlessMc, mainchat, ZyroPlayz#3967, @Tomas1O1 wuts ur highlest poke cp?
13 Aug 2016 23:09:15 : LimitlessMc, mainchat, Tomas1O1#4667, I think my ponyta is the highest I have
13 Aug 2016 23:09:18 : LimitlessMc, mainchat, Tomas1O1#4667, I forgot the CP
13 Aug 2016 23:09:42 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Offline!
13 Aug 2016 23:09:45 : LimitlessMc, mainchat, ZyroPlayz#3967, how do i play that @Mank  xD
13 Aug 2016 23:09:54 : LimitlessMc, mainchat, ZyroPlayz#3967, is dat real
13 Aug 2016 23:09:57 : LimitlessMc, mainchat, Tomas1O1#4667, Besides, I don't play PG that much, im still at lvl 11
13 Aug 2016 23:09:58 : LimitlessMc, mainchat, Mank#0033, lelelele
13 Aug 2016 23:10:17 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Online!
13 Aug 2016 23:10:25 : LimitlessMc, mainchat, Tomas1O1#4667, Mank,
I found a Mankey
13 Aug 2016 23:10:30 : LimitlessMc, mainchat, Tomas1O1#4667, Should I catch it?
13 Aug 2016 23:10:32 : LimitlessMc, mainchat, ZyroPlayz#3967, yes
13 Aug 2016 23:10:34 : LimitlessMc, mainchat, ZyroPlayz#3967, ofc
13 Aug 2016 23:10:50 : LimitlessMc, mainchat, ZyroPlayz#3967, and name it after mank thats what i did to mine
13 Aug 2016 23:10:58 : LimitlessMc, mainchat, Tomas1O1#4667, well it fell in lava lol
13 Aug 2016 23:11:13 : LimitlessMc, mainchat, ZyroPlayz#3967, someone get the sad music goin
13 Aug 2016 23:11:15 : LimitlessMc, mainchat, Tomas1O1#4667, @ZyroPlayz are we cool now .-.
13 Aug 2016 23:11:22 : LimitlessMc, mainchat, ZyroPlayz#3967, do-dooo-doooo-doooooooo-duu
13 Aug 2016 23:11:32 : LimitlessMc, mainchat, ZyroPlayz#3967, violin, and shit
13 Aug 2016 23:11:53 : LimitlessMc, mainchat, Tomas1O1#4667, 1 like = Get spanked by a mankey
13 Aug 2016 23:12:08 : LimitlessMc, mainchat, Tomas1O1#4667, Last night I had a dream about dat...
13 Aug 2016 23:12:11 : LimitlessMc, mainchat, ZyroPlayz#3967, 1 sub = 1 mankey saved
13 Aug 2016 23:12:29 : LimitlessMc, mainchat, ZyroPlayz#3967, u had a dream about a mankey walking up to u and slapping ur ass XD
?
13 Aug 2016 23:12:41 : LimitlessMc, mainchat, Tomas1O1#4667, yes
13 Aug 2016 23:12:50 : LimitlessMc, mainchat, Tomas1O1#4667, I lost a battle over it XD
13 Aug 2016 23:12:50 : LimitlessMc, mainchat, ZyroPlayz#3967, what the duck xD
13 Aug 2016 23:13:18 : LimitlessMc, mainchat, ZyroPlayz#3967, thats liek pokemon censored edition
13 Aug 2016 23:13:22 : LimitlessMc, mainchat, ZyroPlayz#3967, lose a battle get fucked
13 Aug 2016 23:13:35 : LimitlessMc, mainchat, Tomas1O1#4667, Zyro, let me tell u a tip on how to catch any pokemon including legendarys
13 Aug 2016 23:13:51 : LimitlessMc, mainchat, Tomas1O1#4667, Throw a Pokeball at it,
Then put Phyduck tape on it.
13 Aug 2016 23:13:53 : LimitlessMc, mainchat, ZyroPlayz#3967, msg me it i dont want these flaggots knowing
13 Aug 2016 23:13:54 : LimitlessMc, mainchat, Tomas1O1#4667, If it doesn't work
13 Aug 2016 23:14:01 : LimitlessMc, mainchat, ZyroPlayz#3967, welp to late now
13 Aug 2016 23:14:06 : LimitlessMc, mainchat, Tomas1O1#4667, Throw it in lava lol
13 Aug 2016 23:14:18 : LimitlessMc, mainchat, ZyroPlayz#3967, i cant throwing balls is disabled
13 Aug 2016 23:14:54 : LimitlessMc, mainchat, ZyroPlayz#3967, ur tellin me if i throw a damn pokeball at any pokemon then switch to a psyduck itl auto capture?
13 Aug 2016 23:14:55 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Online!
13 Aug 2016 23:15:01 : LimitlessMc, mainchat, Tomas1O1#4667, no
13 Aug 2016 23:15:08 : LimitlessMc, mainchat, Tomas1O1#4667, U gotta Phyduck tape it
13 Aug 2016 23:15:15 : LimitlessMc, mainchat, Tomas1O1#4667, Besides it was a bad pun anyway lol
13 Aug 2016 23:15:17 : LimitlessMc, mainchat, ZyroPlayz#3967, the hell is a phyduck tape
13 Aug 2016 23:15:33 : LimitlessMc, mainchat, Tomas1O1#4667, It was a joke Zyro lol
13 Aug 2016 23:15:49 : LimitlessMc, mainchat, Tomas1O1#4667, Duck tape
13 Aug 2016 23:15:52 : LimitlessMc, mainchat, Tomas1O1#4667, Phyduck tape
13 Aug 2016 23:16:02 : LimitlessMc, mainchat, Tomas1O1#4667, Duck tape holds anything
13 Aug 2016 23:16:15 : LimitlessMc, mainchat, ZyroPlayz#3967, ohhhh iget it xD
13 Aug 2016 23:16:24 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Offline!
13 Aug 2016 23:16:53 : LimitlessMc, mainchat, ZyroPlayz#3967, im legit gonna try the first strat i thought lower hp switch to psyfuck throw pokeball
13 Aug 2016 23:16:54 : LimitlessMc, botchat, xPalkia(lugia)#8149, omg
13 Aug 2016 23:16:58 : LimitlessMc, botchat, xPalkia(lugia)#8149, no @ZyroPlayz
13 Aug 2016 23:17:00 : LimitlessMc, mainchat, Tomas1O1#4667, Is it just me or do I have a dirty mind .-.
To me, Apricorns look like Colored nipples
13 Aug 2016 23:17:11 : LimitlessMc, mainchat, ZyroPlayz#3967, shit i meant psyduck my f key is just close to my d key xD
13 Aug 2016 23:17:13 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Offline!
13 Aug 2016 23:17:34 : LimitlessMc, mainchat, ZyroPlayz#3967, @Tomas1O1  THATS WHAT I THOUGHT
13 Aug 2016 23:17:35 : LimitlessMc, mainchat, ZyroPlayz#3967, xD
13 Aug 2016 23:17:49 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
13 Aug 2016 23:18:22 : LimitlessMc, mainchat, ZyroPlayz#3967, @Alfrediskogen damn pervert playin gta 5 hes prob fuckin a prostitute as we speak
13 Aug 2016 23:18:30 : LimitlessMc, mainchat, Tomas1O1#4667, ya, I think we just have dirty minds....
