22 Jul 2017 16:07:00 : LimitlessMc, botchat, Wertfuzzy77#0274, ;mine
22 Jul 2017 16:07:00 : LimitlessMc, botchat, Botfuzzy77#2209, Please wait 194 seconds before you can mine again.
22 Jul 2017 16:07:02 : LimitlessMc, botchat, Wertfuzzy77#0274, ...
22 Jul 2017 16:07:05 : LimitlessMc, botchat, Wertfuzzy77#0274, ugh
22 Jul 2017 16:07:15 : LimitlessMc, botchat, Wertfuzzy77#0274, why did I have to patch the ;relog and cooldown bug
22 Jul 2017 16:08:07 : LimitlessMc, botchat, StubbyMuffins#1053, wert unlock the game for ark server
22 Jul 2017 16:08:11 : LimitlessMc, botchat, StubbyMuffins#1053, if you can bb
22 Jul 2017 16:08:31 : LimitlessMc, botchat, Wertfuzzy77#0274, hmm?
22 Jul 2017 16:08:38 : LimitlessMc, botchat, Wertfuzzy77#0274, oh, lol, you wanna be able to play it there now?
22 Jul 2017 16:08:50 : LimitlessMc, mainchat, jjtwilefc#7374, @ruleroftri I probably should have put that in pm's but for the record there isn't much left to get banned from
22 Jul 2017 16:08:53 : LimitlessMc, botchat, Wertfuzzy77#0274, ;mine
22 Jul 2017 16:08:53 : LimitlessMc, botchat, Botfuzzy77#2209, Please wait 81 seconds before you can mine again.
22 Jul 2017 16:08:55 : LimitlessMc, botchat, Wertfuzzy77#0274, ...
22 Jul 2017 16:08:58 : Lycryisic, lycrysic-modded-chat, Lycrysic Server Bot#1200, Shadowfire1217 @Pixel It is updated
22 Jul 2017 16:09:07 : Lycryisic, lycrysic-modded-chat, Pixel Zane#2042, Oki
22 Jul 2017 16:09:13 : Lycryisic, lycrysic-modded-chat, Lastshadow#5809, join me?
22 Jul 2017 16:09:22 : Lycryisic, lycrysic-modded-chat, Pixel Zane#2042, sure
22 Jul 2017 16:09:38 : LimitlessMc, botchat, Wertfuzzy77#0274, ;mine
22 Jul 2017 16:09:38 : LimitlessMc, botchat, Botfuzzy77#2209, Please wait 36 seconds before you can mine again.
22 Jul 2017 16:09:40 : LimitlessMc, botchat, Wertfuzzy77#0274, DIE
22 Jul 2017 16:10:22 : LimitlessMc, botchat, Wertfuzzy77#0274, next push it will be unlocked @StubbyMuffins making a big patch today
22 Jul 2017 16:10:40 : LimitlessMc, botchat, Wertfuzzy77#0274, ;mine
22 Jul 2017 16:10:44 : LimitlessMc, botchat, Botfuzzy77#2209, 
22 Jul 2017 16:10:46 : LimitlessMc, botchat, Botfuzzy77#2209, 
