17 Jan 2017 20:11:33 : LimitlessMc, botchat, TherminatorX#6644, Everything else is fine
17 Jan 2017 20:11:36 : LimitlessMc, botchat, TherminatorX#6644, Ish
17 Jan 2017 20:11:44 : LimitlessMc, botchat, DanTurboX#4833, I see ok ty
17 Jan 2017 20:11:58 : LimitlessMc, botchat, DanTurboX#4833, Ill come back later then
17 Jan 2017 20:12:02 : LimitlessMc, botchat, TherminatorX#6644, @Botfuzzy77 you're broken
17 Jan 2017 20:12:03 : LimitlessMc, botchat, Botfuzzy77#2209, How am I broken?
17 Jan 2017 20:12:25 : LimitlessMc, botchat, TherminatorX#6644, @Botfuzzy77 Your battling module is kaput.
17 Jan 2017 20:12:27 : LimitlessMc, botchat, Botfuzzy77#2209, No, you're batman.
17 Jan 2017 20:12:29 : LimitlessMc, botchat, DanTurboX#4833, U dont let me train @Botfuzzy77
17 Jan 2017 20:12:30 : LimitlessMc, botchat, Botfuzzy77#2209, Harry sings don't let me go to Louis.
17 Jan 2017 20:12:38 : Pulse, botchat, Wertfuzzy77#0274, here
17 Jan 2017 20:12:39 : Pulse, botchat, Wertfuzzy77#0274, http://pastebin.com/SWVD2LFT
17 Jan 2017 20:12:41 : Pulse, botchat, Wertfuzzy77#0274, play with this
17 Jan 2017 20:12:48 : LimitlessMc, botchat, TherminatorX#6644, I am now Batman, apparently
17 Jan 2017 20:12:48 : Pulse, botchat, Wertfuzzy77#0274, Its my anime recommender
17 Jan 2017 20:12:56 : LimitlessMc, botchat, DanTurboX#4833, Lel
17 Jan 2017 20:13:07 : LimitlessMc, botchat, Wertfuzzy77#0274, and yes, he is broken
17 Jan 2017 20:13:07 : LimitlessMc, botchat, Wertfuzzy77#0274, patching now
17 Jan 2017 20:14:31 : LimitlessMc, botchat, Dankdra#0051, ;train
17 Jan 2017 20:14:39 : Pokemon Mystery Dungeon, poke_battles, TherminatorX#6644, ;cd
17 Jan 2017 20:15:19 : LimitlessMc, botchat, Wertfuzzy77#0274, ;reload
17 Jan 2017 20:15:29 : LimitlessMc, botchat, Wertfuzzy77#0274, ...?
17 Jan 2017 20:15:29 : LimitlessMc, botchat, Dankdra#0051, ;train
17 Jan 2017 20:15:33 : LimitlessMc, botchat, Dankdra#0051, Uh oh
