14 Dec 2017 08:28:16 : FAM, off-topic, darth kota#9446, ;topic whose mans
14 Dec 2017 08:28:17 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:28:27 : FAM, off-topic, darth kota#9446, ;poll1 waffles
14 Dec 2017 08:28:27 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:28:34 : FAM, off-topic, darth kota#9446, ;poll2 reloaded
14 Dec 2017 08:28:34 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:28:40 : FAM, off-topic, darth kota#9446, ;poll3 darth
14 Dec 2017 08:28:40 : FAM, off-topic, darthbot98#5182, set!
14 Dec 2017 08:28:48 : FAM, off-topic, darth kota#9446, ;startpoll
14 Dec 2017 08:29:51 : FAM, off-topic, darth kota#9446, ;relog
