17 Dec 2017 16:14:44 : darth, general, darth kota#9446, ;join
17 Dec 2017 16:14:45 : darth, general, darthbot98#5182, Connected channel!
17 Dec 2017 16:14:55 : darth, general, darth kota#9446, ;search twilight zone
17 Dec 2017 16:15:00 : darth, general, darthbot98#5182, Added Golden Earring - Twilight Zone  (Video) to the queue
17 Dec 2017 16:15:00 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=wIaaBuGNwNw
17 Dec 2017 16:15:15 : darth, general, darth kota#9446, ;skip
17 Dec 2017 16:20:52 : darth, general, darth kota#9446, ;song
17 Dec 2017 16:20:52 : darth, general, darthbot98#5182, 
17 Dec 2017 16:27:29 : darth, general, darth kota#9446, ;relog
