18 Sep 2016 21:17:59 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;join
18 Sep 2016 21:18:08 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;playlist Kimi Kimi AnimeOpenings
18 Sep 2016 21:18:26 : The Wild Weeaboos, general, Botfuzzy77#2209, Finished Adding songs from playlist(s)
18 Sep 2016 21:18:54 : The Wild Weeaboos, general, Wertfuzzy77#0274, ;shuffle
18 Sep 2016 21:18:55 : The Wild Weeaboos, general, Botfuzzy77#2209, Shuffling songs...
18 Sep 2016 21:20:50 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
18 Sep 2016 21:20:51 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Online!
18 Sep 2016 21:21:16 : Penguins, general, Botfuzzy77#2209, **Survivra**(Deoxys) is now Offline!
18 Sep 2016 21:22:04 : LimitlessMc, mainchat, MountainDewRed#4034, i would have voted option two but i couldn't log in to the forums never did get a reply to the password reset email
18 Sep 2016 21:22:52 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
18 Sep 2016 21:22:53 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Offline!
18 Sep 2016 21:31:33 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
18 Sep 2016 21:33:33 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
18 Sep 2016 21:37:34 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
18 Sep 2016 21:39:35 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Online!
18 Sep 2016 21:39:35 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
18 Sep 2016 21:40:16 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
