20 Jul 2016 02:36:28 : LimitlessMc, mainchat, xPalkia(lugia)#8149, Gg
20 Jul 2016 02:36:53 : Cipher, general, Kburn1999#5526, rip server
20 Jul 2016 02:36:54 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ;server
20 Jul 2016 02:36:57 : LimitlessMc, mainchat, Botfuzzy77#2209, *Server is Down :(*
20 Jul 2016 02:37:00 : Cipher, general, Calamariela#7098, lele
20 Jul 2016 02:37:01 : Cipher, general, Kburn1999#5526, ;server
20 Jul 2016 02:37:10 : LimitlessMc, mainchat, xPalkia(lugia)#8149, Again
20 Jul 2016 02:37:10 : Cipher, general, Calamariela#7098, crash?
20 Jul 2016 02:37:11 : Cipher, general, Botfuzzy77#2209, *Server is Down :(*
20 Jul 2016 02:37:11 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
20 Jul 2016 02:37:15 : Cipher, general, Skyd#9935, That was a shit fest 
20 Jul 2016 02:37:16 : Cipher, general, Calamariela#7098, kys @Tophwalt4life
20 Jul 2016 02:37:18 : Cipher, general, Kburn1999#5526, yea
20 Jul 2016 02:37:22 : Cipher, general, Calamariela#7098, ikr @Skyd
20 Jul 2016 02:37:36 : Cipher, general, Kburn1999#5526, and all it was  was caps/advertisement and racism
20 Jul 2016 02:38:05 : Cipher, general, Skyd#9935, And some kid getting triggered which I can understand but we don't need more caps 
20 Jul 2016 02:38:36 : Cipher, general, Kburn1999#5526, im was just sitting there like NO i cant see if a legendary spawned lolz
20 Jul 2016 02:39:09 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
20 Jul 2016 02:39:14 : Cipher, general, Kburn1999#5526, yea
20 Jul 2016 02:39:32 : Cipher, general, Kburn1999#5526, now the admins come lolz
20 Jul 2016 02:40:01 : Cipher, general, Skyd#9935, Ofc 
20 Jul 2016 02:40:32 : Cipher, general, Skyd#9935, ;server
20 Jul 2016 02:40:35 : Cipher, general, Botfuzzy77#2209, *Server is Down :(*
20 Jul 2016 02:40:47 : Cipher, general, Kburn1999#5526, ;trivia 5
20 Jul 2016 02:40:47 : Cipher, general, Botfuzzy77#2209, Silly @Kburn1999, you have no power here
20 Jul 2016 02:40:50 : Cipher, general, Kburn1999#5526, damit
20 Jul 2016 02:41:19 : Cipher, general, Kburn1999#5526, skyd see if u can do it
20 Jul 2016 02:41:20 : Cipher, general, Calamariela#7098, did myst ban them?
20 Jul 2016 02:41:34 : Cipher, general, Kburn1999#5526, myst banned the X80
20 Jul 2016 02:41:39 : Cipher, general, Kburn1999#5526, then server crashed
20 Jul 2016 02:41:54 : Cipher, general, Calamariela#7098, rollback undoes bans if i'm not mistaken
20 Jul 2016 02:42:05 : Cipher, general, Calamariela#7098, w/e i still reported them
20 Jul 2016 02:42:08 : Cipher, general, Skyd#9935, ;trivia 5
20 Jul 2016 02:42:08 : Cipher, general, Botfuzzy77#2209, Silly @Skyd, you have no power here
20 Jul 2016 02:42:14 : Cipher, general, Kburn1999#5526, darn
20 Jul 2016 02:42:15 : Cipher, general, Skyd#9935, Yeah I can't 
20 Jul 2016 02:42:32 : Cipher, general, Kburn1999#5526, @Godfuzzy77  fix it lolz
20 Jul 2016 02:42:40 : Cipher, general, Calamariela#7098, @Godfuzzy77 fix ur shit
20 Jul 2016 02:42:47 : Cipher, general, Calamariela#7098, @Tophwalt4life @Tophwalt4life @Tophwalt4life
