10 May 2017 16:25:53 : Shadow's Subnautica, botchat, Lastshadow#5809, ;search pokemon red theme pokemon origins
10 May 2017 16:25:55 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Added Pokémon The Origins - Battle! Champion Music (HD) to the queue
10 May 2017 16:25:55 : Shadow's Subnautica, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=z5s4VYC9xR4
10 May 2017 16:26:14 : Shadow's Subnautica, botchat, Lastshadow#5809, ;search pokemon Cynthia theme
10 May 2017 16:26:15 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Added Pokemon Diamond/Pearl/Platinum - Battle! Champion Cynthia Music (HQ) to the queue
10 May 2017 16:26:15 : Shadow's Subnautica, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=rXefFHRgyE0
10 May 2017 16:26:28 : Shadow's Subnautica, botchat, Lastshadow#5809, ;search pokemon zinia theme
10 May 2017 16:26:30 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Added Pokemon Omega Ruby/Alpha Sapphire - Battle! Zinnia Music (HQ) to the queue
10 May 2017 16:26:30 : Shadow's Subnautica, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=GIn8_Q27WFY
10 May 2017 16:26:51 : Shadow's Subnautica, botchat, Lastshadow#5809, ;search pokemon regi theme
10 May 2017 16:26:53 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Added Pokemon Omega Ruby/Alpha Sapphire - Battle! Regirock/Regice/Registeel Music (HQ) to the queue
10 May 2017 16:26:53 : Shadow's Subnautica, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=jiDgi4BN7aE
10 May 2017 16:27:08 : Shadow's Subnautica, botchat, Lastshadow#5809, ;search pokemon dialga palkia theme
10 May 2017 16:27:10 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Added Pokemon Omega Ruby/Alpha Sapphire - Battle! Palkia/Dialga Music (HQ) to the queue
10 May 2017 16:27:11 : Shadow's Subnautica, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=I_57ptO3TKc
10 May 2017 16:27:20 : Shadow's Subnautica, botchat, Lastshadow#5809, ;search pokemon giratina theme
10 May 2017 16:27:21 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Added Pokemon Omega Ruby/Alpha Sapphire - Battle! Giratina Music (HQ) to the queue
10 May 2017 16:27:21 : Shadow's Subnautica, botchat, Botfuzzy77#2209, https://www.youtube.com/watch?v=iy4WUVI7Lrw
10 May 2017 16:27:23 : Shadow's Subnautica, botchat, Lastshadow#5809, ;skip
10 May 2017 16:27:23 : Shadow's Subnautica, botchat, Botfuzzy77#2209, Skipping Pokemon Omega Ruby/Alpha Sapphire - Battle! Reshiram/Zekrom Music (HQ) by request of the requester
10 May 2017 16:28:25 : Shadow's Subnautica, botchat, tigertiger02#4338, I am going to put on Netflix while I do pixelmon
