20 Sep 2016 20:30:44 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
20 Sep 2016 20:30:44 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
20 Sep 2016 20:30:45 : The Wild Weeaboos, general, enragednuke#2565, bb r u goin down down down down down downnn
20 Sep 2016 20:30:47 : The Wild Weeaboos, general, enragednuke#2565, DOOOOWWWWWWWWNNN
20 Sep 2016 20:30:50 : The Wild Weeaboos, general, enragednuke#2565, DOOOOOOOOOOOOOOOOOOOOOWWWWNNNN
20 Sep 2016 20:30:53 : The Wild Weeaboos, general, enragednuke#2565, bb r u goling dsown down downdowdnwdown
20 Sep 2016 20:30:57 : The Wild Weeaboos, general, enragednuke#2565, wodowooooooonon
20 Sep 2016 20:31:01 : The Wild Weeaboos, general, enragednuke#2565, DOOWOWOWNWNWNWNOOOOOWWWN
20 Sep 2016 20:31:06 : The Wild Weeaboos, general, Ryan#3332, Kimi da yo kimi nan dayo
20 Sep 2016 20:31:08 : The Wild Weeaboos, general, enragednuke#2565, lol
20 Sep 2016 20:31:22 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
20 Sep 2016 20:31:23 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
20 Sep 2016 20:32:01 : The Wild Weeaboos, general, Ryan#3332, My poor laptop plays lol at 12 fps
20 Sep 2016 20:32:06 : The Wild Weeaboos, general, enragednuke#2565, @Botfuzzy77 sing for me bb
20 Sep 2016 20:32:07 : The Wild Weeaboos, general, Botfuzzy77#2209, I can't.
20 Sep 2016 20:32:09 : The Wild Weeaboos, general, enragednuke#2565, lloll
20 Sep 2016 20:32:11 : The Wild Weeaboos, general, enragednuke#2565, well then
20 Sep 2016 20:32:27 : The Wild Weeaboos, general, Ryan#3332, @Botfuzzy77 kimi da yo kimi nan dayo
20 Sep 2016 20:32:27 : The Wild Weeaboos, general, Botfuzzy77#2209, I can't understand that... And I don't remember how to say, 'i don't understand' in japanese.
20 Sep 2016 20:32:44 : The Wild Weeaboos, general, enragednuke#2565, LOL
20 Sep 2016 20:32:47 : The Wild Weeaboos, general, enragednuke#2565, IT KNOWS
20 Sep 2016 20:33:09 : The Wild Weeaboos, general, Ryan#3332, @Botfuzzy77 who is best girl?
20 Sep 2016 20:33:09 : The Wild Weeaboos, general, Botfuzzy77#2209, Too bad. You can't.
20 Sep 2016 20:33:22 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Offline!
20 Sep 2016 20:33:23 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Offline!
20 Sep 2016 20:33:44 : Penguins, general, Botfuzzy77#2209, **xPalkia(lugia)**(Mewtwo) is now Offline!
20 Sep 2016 20:37:35 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **warnier**(No Role) is now Offline!
20 Sep 2016 20:38:26 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Harrys**(SchutzStaffel) is now Offline!
20 Sep 2016 20:45:00 : Cipher, general, Wertfuzzy77#0274, ;skip
20 Sep 2016 20:45:00 : Cipher, general, Botfuzzy77#2209, Skipping Beyoncè Drunk In Love (Audio)
20 Sep 2016 20:45:13 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
20 Sep 2016 20:49:32 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **I-Like-Pizzja**(Nazi) is now Offline!
20 Sep 2016 20:52:45 : LimitlessMc, botchat, Harambe#3735, ;luck
20 Sep 2016 20:52:45 : LimitlessMc, botchat, Botfuzzy77#2209, Harambe's luck is 44.68 out of 100, which is **Not Bad**
20 Sep 2016 20:56:59 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
20 Sep 2016 21:00:04 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
20 Sep 2016 21:02:00 : Cipher, general, Botfuzzy77#2209, **Es Fusel**(Grunt) is now Offline!
20 Sep 2016 21:04:35 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
20 Sep 2016 21:04:56 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
20 Sep 2016 21:12:26 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
20 Sep 2016 21:17:00 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Online!
20 Sep 2016 21:17:00 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
20 Sep 2016 21:17:41 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Online!
20 Sep 2016 21:21:54 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
20 Sep 2016 21:23:08 : The Wild Weeaboos, general, Wertfuzzy77#0274, @Botfuzzy77 Who is best girl in Clannad
20 Sep 2016 21:23:08 : The Wild Weeaboos, general, Botfuzzy77#2209, You ruined it!
20 Sep 2016 21:23:13 : The Wild Weeaboos, general, Wertfuzzy77#0274, useless
20 Sep 2016 21:27:18 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
20 Sep 2016 21:28:53 : Penguins, general, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
20 Sep 2016 21:30:40 : Cipher, general, Botfuzzy77#2209, **Es Fusel**(Grunt) is now Online!
