02 Apr 2017 00:25:36 : LimitlessMc, botchat, Botfuzzy77#2209, UpTime: 0:06:51.500000s
02 Apr 2017 00:25:36 : LimitlessMc, botchat, Botfuzzy77#2209, Total Messages: 45
02 Apr 2017 00:25:36 : LimitlessMc, botchat, Botfuzzy77#2209, Servers Joined: 13
02 Apr 2017 00:25:55 : LimitlessMc, botchat, Wertfuzzy77#0274, http://www.imgbase.info/images/safe-wallpapers/anime/pokemon/30440_pokemon.jpg
02 Apr 2017 00:26:01 : The Wild Weebs, general, Wertfuzzy77#0274, http://www.imgbase.info/images/safe-wallpapers/anime/pokemon/30440_pokemon.jpg
02 Apr 2017 00:26:09 : LimitlessMc, mainchat, darth kota#9446, @Jay113355
02 Apr 2017 00:26:29 : LimitlessMc, mainchat, Jay113355#4999, Yes?
02 Apr 2017 00:26:35 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground https://s-media-cache-ak0.pinimg.com/originals/88/a0/b1/88a0b15287dad5a81eb43dcf7e526f93.jpg
02 Apr 2017 00:26:38 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:26:38 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:26:45 : LimitlessMc, mainchat, darth kota#9446, still cant log on to the server
02 Apr 2017 00:27:25 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground https://wallpaperscraft.com/image/pokemon_background_blue_totodile_83629_2560x1600.jpg
02 Apr 2017 00:27:30 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:27:32 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:27:51 : LimitlessMc, mainchat, darth kota#9446, im Hansons btw @Jay113355
02 Apr 2017 00:27:57 : LimitlessMc, mainchat, Jay113355#4999, hansons
02 Apr 2017 00:28:00 : LimitlessMc, mainchat, Jay113355#4999, not Hansons
02 Apr 2017 00:28:13 : LimitlessMc, mainchat, Jay113355#4999, Your username used to be lowercase
02 Apr 2017 00:28:29 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground https://guikao.files.wordpress.com/2012/01/pokemon_wallpaper01_1680.jpg
02 Apr 2017 00:28:31 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:28:32 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:28:54 : LimitlessMc, mainchat, darth kota#9446, changed computers is upper now
02 Apr 2017 00:29:02 : LimitlessMc, mainchat, darth kota#9446, just typed it different
02 Apr 2017 00:29:38 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground http://more-sky.com/data/out/7/IMG_147671.jpg
02 Apr 2017 00:30:02 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground http://i.imgur.com/7nCRR.png
02 Apr 2017 00:30:06 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:30:17 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:30:43 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground http://www.wallpaperup.com/uploads/wallpapers/2014/01/02/212937/5ad668ca9f71db44db242d492dd43291.jpg
02 Apr 2017 00:30:46 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:30:47 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:30:50 : LimitlessMc, botchat, Wertfuzzy77#0274, ...................
02 Apr 2017 00:31:27 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground http://wallpaper-gallery.net/images/anime-background-wallpapers/anime-background-wallpapers-10.jpg
02 Apr 2017 00:31:33 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:31:34 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:31:49 : LimitlessMc, mainchat, darth kota#9446, @Jay113355  i wouldnt still have my pokes after reset would i?
02 Apr 2017 00:32:17 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground http://www.pixelstalk.net/wp-content/uploads/2016/08/1920x1080-Anime-Background-HD-620x349.jpg
02 Apr 2017 00:32:21 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:32:21 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:32:48 : LimitlessMc, mainchat, Jay113355#4999, Mostlikey not
02 Apr 2017 00:33:09 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground http://www.cqsisu.com/data/wallpapers/188/1361383.jpg
02 Apr 2017 00:33:23 : LimitlessMc, mainchat, Jay113355#4999, Try now
02 Apr 2017 00:34:14 : LimitlessMc, botchat, Wertfuzzy77#0274, ;changeBackground https://s-media-cache-ak0.pinimg.com/originals/b1/f0/5e/b1f05e557efa05f9d8a37f7e3abb91af.jpg
02 Apr 2017 00:34:18 : LimitlessMc, botchat, Wertfuzzy77#0274, ;level
02 Apr 2017 00:34:18 : LimitlessMc, botchat, Botfuzzy77#2209, 
02 Apr 2017 00:37:12 : LimitlessMc, mainchat, darth kota#9446, im in thanks @Jay113355
