14 Dec 2017 06:31:16 : FAM, videos-and-music, darth kota#9446, ;recommend
14 Dec 2017 06:31:16 : FAM, videos-and-music, darthbot98#5182, The Bot isnt connected in this server!
14 Dec 2017 06:31:22 : FAM, videos-and-music, darth kota#9446, ;join
14 Dec 2017 06:31:23 : FAM, videos-and-music, darthbot98#5182, Connected channel!
14 Dec 2017 06:31:25 : FAM, videos-and-music, darth kota#9446, ;recommend
14 Dec 2017 06:31:26 : FAM, videos-and-music, darthbot98#5182, Recommend Songs to play: True
14 Dec 2017 06:42:02 : FAM, videos-and-music, darth kota#9446, ;reconnect
14 Dec 2017 06:42:07 : FAM, videos-and-music, darth kota#9446, ;relog
14 Dec 2017 06:42:07 : FAM, videos-and-music, darthbot98#5182, Relogging...
