20 Dec 2017 07:32:24 : darth, general, darth kota#9446, ;join
20 Dec 2017 07:32:25 : darth, general, darthbot98#5182, Connected channel!
20 Dec 2017 07:32:54 : darth, general, darth kota#9446, neat thanks wert
20 Dec 2017 07:33:32 : darth, general, Wertfuzzy77#0274, np
20 Dec 2017 07:34:02 : darth, general, darth kota#9446, ;search simple man
20 Dec 2017 07:34:15 : darth, general, darthbot98#5182, Added Simple Man - Lynyrd Skynyrd - Lyrics HD to the queue
20 Dec 2017 07:34:15 : darth, general, darthbot98#5182, https://www.youtube.com/watch?v=sMmTkKz60W8
20 Dec 2017 07:34:32 : darth, general, darth kota#9446, ;pause
20 Dec 2017 07:39:43 : darth, general, darth kota#9446, ;relog
20 Dec 2017 07:39:45 : darth, general, darthbot98#5182, Relogging...
